IDALOJAMIENTO,COMIDAS,TIPOBANIO,TIPOHABITACION,DTOMESEXTRA,IDENTIFICACIONOPERADORUSUARIO
15163,1,compartido,individual,61,46363
15164,2,privado,individual,76,49096
15165,1,privado,individual,57,29617
15166,3,compartido,compartido,95,34601
15167,0,compartido,individual,29,28324
15168,0,privado,compartido,37,19219
15169,3,privado,individual,2,30676
15170,2,privado,compartido,16,114
15171,0,compartido,compartido,40,40851
15172,2,compartido,individual,6,44826
15173,0,compartido,compartido,93,41371
15174,1,compartido,individual,68,28805
15175,2,privado,compartido,79,32539
15176,1,compartido,compartido,51,46183
15177,3,compartido,individual,31,484
15178,1,privado,individual,48,46018
15179,2,compartido,compartido,79,7731
15180,2,privado,compartido,69,33257
15181,0,privado,compartido,93,44732
15182,2,privado,individual,37,21184
15183,2,compartido,individual,94,46664
15184,1,privado,compartido,54,11320
15185,0,privado,compartido,10,28701
15186,2,privado,compartido,93,4421
15187,2,compartido,compartido,54,4919
15188,3,privado,compartido,59,23347
15189,2,compartido,individual,95,41831
15190,1,compartido,compartido,7,20587
15191,2,compartido,individual,74,40730
15192,0,compartido,compartido,100,41735
15193,2,compartido,individual,70,28675
15194,0,compartido,compartido,7,14207
15195,3,compartido,compartido,20,8433
15196,0,compartido,compartido,10,27261
15197,3,compartido,compartido,21,33456
15198,2,privado,individual,21,20804
15199,1,compartido,individual,89,3133
15200,0,compartido,compartido,67,42393
15201,3,privado,individual,60,40725
15202,0,privado,compartido,19,42505
15203,0,privado,compartido,82,22003
15204,3,privado,compartido,96,23394
15205,1,compartido,compartido,49,25526
15206,1,privado,individual,85,37574
15207,3,compartido,individual,8,31660
15208,0,privado,compartido,14,48022
15209,1,compartido,compartido,82,587
15210,1,compartido,compartido,89,26374
15211,2,compartido,compartido,32,20321
15212,0,privado,compartido,46,4960
15213,1,privado,compartido,54,34897
15214,3,compartido,individual,21,1290
15215,3,privado,individual,80,8706
15216,2,privado,compartido,61,45026
15217,0,privado,individual,41,26547
15218,0,compartido,individual,63,37573
15219,1,compartido,compartido,32,20654
15220,1,compartido,individual,75,5774
15221,2,compartido,compartido,20,20934
15222,1,compartido,individual,8,13304
15223,3,privado,compartido,73,48819
15224,2,privado,compartido,91,20731
15225,0,privado,individual,18,11811
15226,0,privado,individual,12,23413
15227,2,compartido,compartido,92,34792
15228,2,compartido,compartido,59,3590
15229,1,compartido,individual,79,22523
15230,0,privado,individual,66,22674
15231,2,privado,individual,100,1139
15232,0,compartido,individual,54,47624
15233,3,compartido,individual,63,4130
15234,3,privado,compartido,80,25145
15235,2,compartido,compartido,92,168
15236,3,compartido,individual,17,46337
15237,1,privado,compartido,92,16838
15238,0,compartido,compartido,22,9704
15239,0,privado,individual,9,10736
15240,1,compartido,individual,54,18241
15241,0,privado,individual,91,22205
15242,0,compartido,compartido,18,36293
15243,1,compartido,individual,44,31357
15244,2,compartido,individual,28,12412
15245,2,compartido,individual,69,31458
15246,0,privado,compartido,94,27109
15247,0,compartido,compartido,36,44566
15248,3,privado,compartido,97,47821
15249,2,privado,compartido,76,6764
15250,1,compartido,compartido,98,6910
15251,3,privado,compartido,82,9071
15252,1,compartido,individual,95,2592
15253,1,privado,compartido,38,24448
15254,1,compartido,compartido,30,34111
15255,1,compartido,individual,22,8863
15256,1,compartido,individual,96,43387
15257,3,compartido,compartido,35,20991
15258,1,privado,individual,89,11304
15259,3,compartido,individual,81,1880
15260,1,compartido,compartido,17,26134
15261,3,compartido,individual,37,7855
15262,1,compartido,individual,57,38756
15263,1,compartido,individual,88,34622
15264,1,compartido,compartido,45,26958
15265,2,privado,individual,87,38450
15266,0,privado,compartido,86,38745
15267,3,privado,individual,7,6076
15268,2,privado,individual,66,17326
15269,2,privado,compartido,72,11745
15270,2,privado,compartido,15,33972
15271,0,privado,compartido,23,6971
15272,1,privado,individual,83,15360
15273,3,privado,individual,57,30628
15274,0,privado,individual,63,31135
15275,2,privado,individual,6,13257
15276,1,privado,compartido,19,4888
15277,3,privado,individual,27,5466
15278,0,compartido,compartido,67,21233
15279,2,privado,individual,84,19560
15280,0,privado,individual,34,27259
15281,3,compartido,individual,29,48045
15282,1,compartido,compartido,23,22703
15283,1,compartido,compartido,16,38145
15284,0,privado,individual,55,22454
15285,0,compartido,compartido,57,37896
15286,2,privado,individual,20,21902
15287,0,compartido,individual,41,22579
15288,0,privado,individual,7,9456
15289,3,compartido,compartido,84,28206
15290,0,privado,compartido,18,33631
15291,3,compartido,compartido,52,40825
15292,3,compartido,individual,45,40415
15293,1,compartido,individual,56,1999
15294,0,privado,compartido,58,19511
15295,3,privado,individual,68,46203
15296,0,privado,compartido,76,49448
15297,2,compartido,compartido,68,37982
15298,1,privado,individual,7,27104
15299,1,privado,compartido,34,44832
15300,1,compartido,individual,30,28555
15301,3,compartido,compartido,75,29209
15302,0,privado,compartido,22,49732
15303,1,privado,individual,62,27695
15304,2,privado,individual,93,6985
15305,3,privado,individual,10,49811
15306,3,compartido,individual,57,4329
15307,3,privado,compartido,64,2537
15308,2,privado,compartido,37,25
15309,1,compartido,individual,18,11185
15310,3,compartido,compartido,100,40744
15311,3,compartido,compartido,83,17533
15312,3,privado,individual,75,27102
15313,3,privado,compartido,90,18102
15314,0,privado,individual,93,26535
15315,1,privado,compartido,45,43474
15316,3,privado,individual,15,23125
15317,1,privado,individual,2,41161
15318,0,compartido,compartido,75,33823
15319,2,privado,compartido,69,5042
15320,2,compartido,individual,66,9709
15321,3,privado,individual,65,18287
15322,1,compartido,compartido,47,49823
15323,0,compartido,individual,80,1070
15324,3,compartido,individual,41,41952
15325,3,privado,compartido,95,8568
15326,3,privado,compartido,19,27779
15327,1,compartido,individual,62,2742
15328,2,privado,compartido,16,3252
15329,0,compartido,individual,73,2391
15330,2,privado,compartido,85,16024
15331,3,privado,compartido,78,36032
15332,0,compartido,compartido,88,21073
15333,0,privado,compartido,91,36152
15334,1,privado,compartido,58,7551
15335,2,compartido,individual,43,30346
15336,2,compartido,compartido,51,11492
15337,2,privado,individual,76,19976
15338,0,compartido,individual,97,44261
15339,3,privado,compartido,24,4293
15340,0,privado,compartido,3,6933
15341,2,compartido,compartido,46,24949
15342,1,privado,compartido,54,20486
15343,3,compartido,individual,94,407
15344,1,privado,individual,14,14394
15345,2,compartido,individual,4,12241
15346,0,privado,compartido,94,25588
15347,1,privado,individual,79,30709
15348,2,compartido,individual,3,30974
15349,3,compartido,compartido,76,9497
15350,0,compartido,compartido,8,41399
15351,1,privado,compartido,100,35465
15352,0,compartido,compartido,57,33969
15353,3,compartido,compartido,92,1541
15354,2,privado,compartido,76,14574
15355,1,compartido,compartido,44,19202
15356,2,privado,individual,52,16105
15357,3,privado,individual,8,12329
15358,3,compartido,compartido,92,22194
15359,1,compartido,compartido,53,40805
15360,1,compartido,compartido,71,27555
15361,1,compartido,compartido,6,28266
15362,3,compartido,compartido,85,42659
15363,1,privado,individual,22,12768
15364,0,compartido,compartido,48,16698
15365,0,privado,compartido,54,1441
15366,2,privado,individual,40,48125
15367,0,compartido,compartido,73,21693
15368,1,privado,individual,100,25738
15369,1,compartido,individual,31,23758
15370,1,privado,individual,17,20015
15371,2,compartido,compartido,55,23237
15372,3,privado,compartido,23,15573
15373,0,compartido,individual,51,36523
15374,2,compartido,individual,82,17778
15375,0,privado,compartido,37,33987
15376,3,compartido,compartido,76,43618
15377,3,privado,compartido,25,2353
15378,1,compartido,compartido,50,18943
15379,0,compartido,individual,99,48755
15380,3,compartido,compartido,65,24352
15381,2,privado,compartido,73,8325
15382,2,compartido,compartido,86,45528
15383,0,privado,individual,24,45492
15384,3,compartido,individual,31,10163
15385,3,compartido,individual,62,12492
15386,0,compartido,individual,9,39156
15387,3,privado,individual,47,38732
15388,0,privado,individual,29,22559
15389,1,compartido,individual,45,48479
15390,1,privado,individual,23,16747
15391,0,privado,individual,40,6721
15392,3,privado,compartido,65,40185
15393,0,privado,compartido,68,46568
15394,0,compartido,individual,78,25203
15395,1,privado,individual,63,30487
15396,1,privado,individual,27,30025
15397,0,privado,individual,50,422
15398,3,privado,compartido,54,21856
15399,2,compartido,individual,4,25486
15400,3,privado,individual,10,47740
15401,0,compartido,individual,58,20137
15402,2,privado,individual,35,23023
15403,2,compartido,compartido,60,4505
15404,0,privado,individual,85,9938
15405,1,privado,compartido,66,32308
15406,0,privado,compartido,15,32490
15407,1,privado,individual,12,33516
15408,1,compartido,compartido,14,17829
15409,3,privado,compartido,67,4176
15410,3,compartido,compartido,41,32950
15411,0,privado,individual,32,45116
15412,2,compartido,individual,68,22986
15413,3,privado,compartido,71,4050
15414,2,privado,individual,46,6281
15415,2,compartido,individual,14,31849
15416,0,compartido,compartido,28,21134
15417,2,privado,individual,60,29503
15418,1,privado,individual,48,34871
15419,2,compartido,compartido,97,3162
15420,3,compartido,compartido,19,47029
15421,3,privado,individual,64,40662
15422,2,compartido,individual,93,40463
15423,3,privado,compartido,72,32093
15424,2,compartido,compartido,76,45437
15425,3,privado,compartido,61,9152
15426,2,compartido,compartido,2,3868
15427,2,compartido,compartido,86,41003
15428,1,compartido,compartido,58,24527
15429,2,privado,compartido,78,1736
15430,1,compartido,compartido,94,21499
15431,2,compartido,individual,87,19203
15432,1,privado,compartido,67,40659
15433,0,privado,individual,60,37289
15434,0,compartido,individual,82,43439
15435,3,privado,individual,13,4532
15436,2,privado,individual,100,39936
15437,3,compartido,compartido,25,29899
15438,0,privado,compartido,5,36285
15439,3,compartido,individual,53,43024
15440,3,compartido,individual,71,6679
15441,1,privado,individual,25,41454
15442,3,compartido,compartido,16,23467
15443,3,privado,individual,78,25247
15444,1,privado,individual,78,15744
15445,0,privado,compartido,49,27111
15446,2,privado,individual,13,23140
15447,3,compartido,compartido,51,6711
15448,1,privado,compartido,61,3758
15449,1,compartido,compartido,68,21843
15450,3,privado,compartido,5,44164
15451,1,compartido,individual,9,48162
15452,2,compartido,compartido,22,27871
15453,3,privado,individual,52,26909
15454,0,compartido,individual,59,31961
15455,1,compartido,compartido,30,34958
15456,2,compartido,individual,64,47460
15457,1,privado,individual,34,41254
15458,3,compartido,individual,45,36071
15459,1,compartido,compartido,39,36567
15460,3,privado,individual,74,29628
15461,0,privado,compartido,8,47927
15462,2,privado,individual,48,3107
15463,1,compartido,individual,31,40162
15464,0,compartido,individual,16,30692
15465,2,compartido,individual,2,36414
15466,1,compartido,individual,2,36781
15467,3,compartido,individual,15,42229
15468,1,compartido,compartido,13,49873
15469,3,privado,compartido,4,45510
15470,1,privado,compartido,77,40079
15471,1,privado,compartido,2,47384
15472,1,privado,compartido,50,29615
15473,3,compartido,individual,68,12349
15474,3,compartido,individual,30,40406
15475,2,privado,individual,51,44607
15476,3,privado,compartido,81,23587
15477,3,privado,compartido,11,17027
15478,3,compartido,compartido,18,39717
15479,2,privado,compartido,61,47964
15480,2,compartido,compartido,3,13387
15481,1,compartido,compartido,19,31457
15482,3,compartido,compartido,41,7123
15483,2,privado,compartido,32,30618
15484,3,compartido,individual,19,42672
15485,0,compartido,individual,18,17671
15486,0,compartido,individual,70,39817
15487,3,privado,compartido,82,11282
15488,0,compartido,compartido,55,44294
15489,1,compartido,individual,63,1524
15490,0,compartido,individual,53,5531
15491,0,privado,individual,1,41683
15492,2,privado,compartido,80,26406
15493,0,compartido,compartido,52,29121
15494,1,compartido,individual,45,28609
15495,1,privado,individual,35,32089
15496,2,privado,compartido,59,12761
15497,2,compartido,individual,71,9624
15498,1,privado,individual,51,37058
15499,1,privado,compartido,17,11415
15500,1,compartido,individual,95,11230
15501,0,privado,compartido,100,19078
15502,1,privado,compartido,20,20736
15503,0,compartido,individual,89,32066
15504,3,compartido,individual,55,9202
15505,3,compartido,individual,58,44987
15506,0,privado,individual,12,15204
15507,1,privado,compartido,34,23385
15508,1,privado,individual,87,42887
15509,2,privado,individual,99,34682
15510,1,compartido,individual,75,34626
15511,3,privado,compartido,72,27669
15512,0,compartido,compartido,99,13096
15513,1,privado,individual,16,33353
15514,0,privado,individual,43,37006
15515,3,privado,individual,11,3746
15516,1,privado,compartido,55,7835
15517,2,compartido,individual,81,19721
15518,1,compartido,compartido,69,3590
15519,3,privado,individual,39,28519
15520,3,privado,compartido,42,13191
15521,0,compartido,compartido,4,11674
15522,0,compartido,individual,25,18404
15523,0,compartido,compartido,94,37076
15524,3,privado,individual,64,24169
15525,1,compartido,individual,63,42776
15526,0,privado,individual,53,10640
15527,1,compartido,compartido,89,14931
15528,0,compartido,individual,49,28297
15529,0,privado,compartido,64,31344
15530,1,compartido,compartido,26,8520
15531,2,compartido,individual,84,19514
15532,1,compartido,compartido,28,41384
15533,3,compartido,compartido,65,32463
15534,2,privado,individual,97,38968
15535,0,privado,individual,81,30871
15536,0,privado,individual,31,47592
15537,1,compartido,individual,76,22231
15538,1,compartido,individual,60,41281
15539,2,privado,individual,7,31410
15540,0,privado,individual,32,38643
15541,3,compartido,individual,53,42114
15542,2,privado,compartido,78,28084
15543,1,privado,compartido,50,25424
15544,1,privado,individual,47,2501
15545,3,compartido,individual,76,13465
15546,1,privado,individual,70,12528
15547,3,compartido,compartido,84,14841
15548,0,privado,individual,51,18308
15549,1,privado,individual,36,36127
15550,0,compartido,compartido,38,29613
15551,2,privado,individual,59,1542
15552,1,privado,individual,28,33608
15553,1,privado,compartido,94,32085
15554,2,privado,compartido,91,46495
15555,2,privado,individual,81,15598
15556,0,privado,compartido,100,4755
15557,3,compartido,individual,76,39617
15558,2,compartido,individual,91,35727
15559,2,compartido,compartido,100,30074
15560,1,compartido,individual,37,49055
15561,2,compartido,individual,24,38905
15562,1,compartido,compartido,35,47966
15563,1,compartido,individual,53,15392
15564,3,privado,individual,24,33914
15565,0,privado,compartido,36,36633
15566,3,compartido,compartido,62,25811
15567,0,compartido,individual,70,47873
15568,0,privado,individual,38,26640
15569,3,privado,individual,1,24058
15570,2,compartido,individual,69,34660
15571,2,compartido,individual,69,36947
15572,1,privado,compartido,93,21286
15573,0,privado,compartido,45,14306
15574,0,compartido,compartido,64,32444
15575,1,compartido,compartido,33,7524
15576,3,compartido,individual,92,20026
15577,2,compartido,individual,39,46081
15578,3,compartido,compartido,39,22169
15579,3,privado,individual,85,9786
15580,1,privado,individual,49,4940
15581,0,privado,compartido,17,42280
15582,0,compartido,individual,72,29216
15583,1,privado,compartido,69,40824
15584,0,privado,compartido,27,28742
15585,2,compartido,compartido,76,38797
15586,0,privado,compartido,65,30970
15587,1,privado,individual,35,319
15588,2,compartido,individual,95,28596
15589,3,privado,compartido,27,48381
15590,2,privado,individual,9,25981
15591,1,compartido,individual,44,28158
15592,0,privado,individual,15,28522
15593,3,privado,individual,85,1740
15594,3,privado,individual,46,16854
15595,1,compartido,individual,40,10859
15596,3,privado,compartido,85,25560
15597,0,compartido,compartido,69,43004
15598,3,compartido,individual,30,23840
15599,1,privado,compartido,45,17542
15600,1,privado,compartido,37,19205
15601,0,compartido,compartido,4,9313
15602,0,privado,compartido,72,10518
15603,3,compartido,compartido,46,2284
15604,2,compartido,compartido,84,35724
15605,3,compartido,compartido,26,22566
15606,2,compartido,individual,38,24255
15607,0,compartido,compartido,17,48362
15608,1,privado,individual,28,14944
15609,2,compartido,individual,75,12119
15610,2,privado,compartido,99,4984
15611,1,compartido,individual,29,7841
15612,0,compartido,compartido,82,19635
15613,3,compartido,compartido,50,17001
15614,0,privado,compartido,67,27833
15615,3,compartido,compartido,14,34623
15616,3,compartido,compartido,7,24986
15617,0,privado,compartido,72,30767
15618,1,privado,compartido,79,14827
15619,2,compartido,individual,76,32270
15620,1,compartido,individual,5,48281
15621,1,compartido,individual,73,32028
15622,3,compartido,compartido,80,26319
15623,1,privado,individual,91,41367
15624,2,compartido,individual,38,10296
15625,3,compartido,individual,60,20657
15626,1,compartido,compartido,33,48117
15627,3,compartido,individual,91,30049
15628,3,privado,individual,50,52
15629,0,privado,individual,66,5326
15630,3,privado,compartido,19,22917
15631,2,privado,individual,21,28292
15632,0,privado,individual,9,48277
15633,1,compartido,individual,34,25114
15634,1,privado,individual,5,3989
15635,2,privado,compartido,90,13996
15636,3,compartido,individual,62,49201
15637,3,privado,individual,72,7719
15638,0,compartido,compartido,43,31559
15639,3,privado,individual,96,38832
15640,0,privado,individual,23,46245
15641,2,privado,compartido,94,30859
15642,0,compartido,individual,54,6968
15643,3,compartido,individual,56,16284
15644,2,privado,individual,69,47514
15645,2,privado,compartido,85,25820
15646,2,compartido,compartido,96,35152
15647,0,privado,individual,38,27158
15648,1,privado,individual,20,9950
15649,1,privado,compartido,4,25422
15650,0,privado,individual,26,1677
15651,2,privado,individual,14,34781
15652,2,compartido,compartido,23,42516
15653,0,privado,individual,44,15994
15654,1,compartido,individual,19,31545
15655,1,privado,compartido,46,24635
15656,3,privado,individual,72,38079
15657,3,compartido,individual,64,42230
15658,0,privado,individual,39,35402
15659,2,compartido,compartido,68,4365
15660,1,compartido,individual,45,12104
15661,0,privado,individual,42,23943
15662,1,compartido,compartido,88,7877
15663,1,compartido,individual,100,28879
15664,0,compartido,compartido,80,17035
15665,3,privado,individual,30,8239
15666,3,compartido,individual,53,31301
15667,1,privado,compartido,9,8446
15668,0,privado,individual,21,38419
15669,0,privado,individual,33,12431
15670,0,compartido,individual,44,476
15671,0,privado,compartido,48,34580
15672,3,compartido,compartido,14,22510
15673,3,privado,individual,7,34916
15674,2,privado,compartido,17,39499
15675,3,compartido,individual,22,28450
15676,2,compartido,individual,69,23492
15677,1,compartido,individual,4,13513
15678,2,compartido,compartido,5,13110
15679,0,compartido,individual,81,14104
15680,2,privado,individual,93,48295
15681,0,compartido,individual,78,47539
15682,2,privado,compartido,12,30124
15683,2,privado,individual,19,34447
15684,2,compartido,compartido,6,657
15685,0,compartido,individual,56,38030
15686,3,compartido,individual,33,36559
15687,2,privado,individual,12,42828
15688,0,privado,individual,66,6166
15689,3,compartido,individual,5,24225
15690,3,privado,individual,22,36032
15691,0,compartido,individual,30,45496
15692,3,privado,individual,87,24427
15693,1,privado,compartido,100,27630
15694,2,compartido,compartido,23,15267
15695,0,compartido,individual,38,47165
15696,2,privado,individual,77,25122
15697,3,privado,individual,95,11937
15698,0,compartido,individual,33,15683
15699,1,compartido,individual,2,8208
15700,3,compartido,individual,71,7798
15701,1,privado,compartido,19,1845
15702,2,compartido,compartido,96,7109
15703,2,privado,compartido,38,21882
15704,0,compartido,individual,44,12152
15705,0,privado,individual,61,30590
15706,1,compartido,compartido,70,21029
15707,0,compartido,compartido,29,44459
15708,2,privado,individual,33,45051
15709,0,privado,compartido,39,29886
15710,2,compartido,compartido,64,25865
15711,2,privado,individual,78,17200
15712,3,compartido,compartido,23,11301
15713,1,compartido,individual,26,18739
15714,1,privado,compartido,31,40214
15715,0,compartido,individual,79,38434
15716,1,compartido,compartido,84,37220
15717,3,compartido,compartido,67,16276
15718,3,compartido,individual,32,17961
15719,1,privado,compartido,69,40940
15720,0,privado,individual,68,42180
15721,0,privado,individual,16,37268
15722,3,compartido,individual,52,35172
15723,1,compartido,individual,59,11309
15724,1,privado,individual,85,7858
15725,3,compartido,individual,14,2737
15726,3,compartido,individual,52,20539
15727,1,privado,compartido,42,35735
15728,2,privado,compartido,34,38468
15729,3,privado,compartido,8,22940
15730,3,compartido,compartido,76,14183
15731,3,compartido,individual,62,43991
15732,1,compartido,compartido,70,1140
15733,1,compartido,compartido,52,37820
15734,3,privado,individual,9,18742
15735,1,privado,individual,63,31961
15736,2,compartido,compartido,89,23472
15737,1,compartido,individual,8,2380
15738,1,compartido,individual,4,444
15739,0,compartido,compartido,73,1947
15740,2,privado,individual,28,38854
15741,2,compartido,individual,55,18371
15742,1,privado,compartido,91,17238
15743,3,privado,compartido,63,34208
15744,1,compartido,compartido,6,25042
15745,3,privado,individual,63,12027
15746,0,compartido,compartido,79,49604
15747,3,privado,compartido,29,32084
15748,2,compartido,individual,18,3354
15749,1,compartido,individual,87,38752
15750,3,compartido,compartido,100,29792
15751,3,privado,compartido,22,12294
15752,3,compartido,individual,29,3888
15753,2,privado,compartido,12,31927
15754,1,privado,individual,90,31760
15755,0,compartido,compartido,26,461
15756,1,compartido,compartido,21,26359
15757,1,privado,compartido,94,38702
15758,3,compartido,compartido,17,12058
15759,2,privado,compartido,41,29005
15760,0,compartido,individual,72,18636
15761,3,privado,compartido,3,20179
15762,3,compartido,compartido,62,25212
15763,1,privado,compartido,86,33642
15764,1,compartido,individual,45,35757
15765,0,privado,individual,40,39912
15766,2,privado,individual,6,21355
15767,0,compartido,compartido,11,4947
15768,2,privado,compartido,98,35633
15769,2,privado,compartido,39,1564
15770,1,privado,individual,89,4460
15771,1,compartido,compartido,82,23754
15772,3,compartido,individual,74,1823
15773,1,privado,compartido,87,24917
15774,1,compartido,compartido,59,16460
15775,0,compartido,compartido,17,48147
15776,0,compartido,compartido,22,49367
15777,2,privado,individual,70,32441
15778,2,compartido,individual,47,39865
15779,0,privado,compartido,26,8481
15780,2,compartido,individual,17,19128
15781,1,compartido,compartido,6,8511
15782,3,compartido,compartido,17,6249
15783,2,compartido,compartido,78,15410
15784,2,compartido,individual,51,16948
15785,0,privado,compartido,27,25778
15786,1,compartido,compartido,89,10424
15787,1,compartido,compartido,77,9562
15788,3,compartido,compartido,92,20850
15789,3,compartido,individual,89,35661
15790,1,privado,compartido,76,2964
15791,2,privado,individual,94,44679
15792,3,privado,individual,74,38555
15793,3,privado,compartido,53,2442
15794,0,compartido,individual,100,22519
15795,3,compartido,compartido,96,1446
15796,2,privado,individual,56,25250
15797,3,privado,compartido,50,44295
15798,0,privado,compartido,65,34557
15799,0,compartido,compartido,32,43963
15800,1,privado,individual,5,14437
15801,3,privado,individual,3,38329
15802,0,privado,compartido,54,42214
15803,0,compartido,individual,4,28806
15804,1,compartido,compartido,10,23903
15805,3,privado,compartido,66,31390
15806,3,compartido,individual,39,38300
15807,2,privado,individual,59,19940
15808,0,compartido,compartido,88,37238
15809,3,compartido,individual,87,15656
15810,0,compartido,individual,57,22596
15811,0,privado,compartido,36,29530
15812,2,compartido,compartido,50,35170
15813,0,compartido,individual,99,40452
15814,3,compartido,compartido,2,22501
15815,2,compartido,compartido,43,17609
15816,1,compartido,compartido,26,32211
15817,0,privado,individual,46,41800
15818,0,privado,individual,80,42968
15819,1,privado,individual,9,8009
15820,0,privado,compartido,31,36794
15821,3,privado,compartido,69,44704
15822,1,privado,individual,51,40786
15823,0,privado,individual,1,39847
15824,3,privado,individual,79,42973
15825,3,privado,compartido,24,43251
15826,2,privado,compartido,18,5814
15827,0,compartido,compartido,49,38741
15828,2,compartido,compartido,40,22729
15829,0,privado,compartido,34,34463
15830,1,compartido,compartido,88,2095
15831,2,privado,individual,30,4370
15832,0,privado,individual,60,7320
15833,1,compartido,compartido,50,21932
15834,1,privado,compartido,28,43747
15835,3,privado,compartido,93,4943
15836,3,privado,compartido,44,41131
15837,3,compartido,compartido,93,4066
15838,2,compartido,compartido,26,37610
15839,1,compartido,individual,66,6916
15840,0,compartido,compartido,86,17000
15841,3,privado,compartido,54,26266
15842,0,privado,compartido,57,34578
15843,2,compartido,compartido,53,35625
15844,0,privado,individual,68,35596
15845,3,privado,compartido,59,41682
15846,1,privado,compartido,78,1609
15847,2,privado,individual,75,6004
15848,1,privado,individual,35,45041
15849,1,compartido,individual,64,21838
15850,0,privado,compartido,24,20593
15851,2,compartido,compartido,55,42955
15852,3,privado,individual,79,30008
15853,2,compartido,compartido,26,41126
15854,3,compartido,individual,80,11879
15855,0,privado,compartido,33,13849
15856,1,privado,compartido,40,21680
15857,2,privado,compartido,4,36150
15858,0,compartido,individual,60,41480
15859,0,privado,individual,19,17619
15860,0,compartido,compartido,76,9823
15861,0,privado,individual,29,26979
15862,3,privado,compartido,88,24520
15863,0,privado,compartido,58,47875
15864,3,privado,individual,82,41770
15865,3,privado,individual,19,41458
15866,1,compartido,individual,20,35241
15867,2,privado,compartido,7,9782
15868,3,privado,individual,19,10558
15869,3,privado,individual,6,19287
15870,0,compartido,individual,65,23559
15871,1,compartido,compartido,28,3639
15872,0,compartido,individual,49,26065
15873,2,privado,individual,47,27623
15874,3,compartido,compartido,75,26370
15875,2,compartido,individual,81,42037
15876,0,compartido,compartido,97,38337
15877,2,compartido,compartido,25,26638
15878,1,compartido,compartido,28,723
15879,1,compartido,compartido,5,19720
15880,3,privado,compartido,99,13981
15881,3,privado,individual,46,11694
15882,3,compartido,individual,5,47197
15883,1,privado,individual,67,8841
15884,2,compartido,individual,93,6226
15885,2,privado,individual,96,36954
15886,3,privado,individual,6,18498
15887,0,compartido,individual,71,38533
15888,1,compartido,individual,42,20941
15889,0,compartido,individual,48,14002
15890,2,privado,individual,42,48986
15891,3,privado,individual,80,31513
15892,3,compartido,individual,48,5527
15893,2,privado,compartido,10,17584
15894,1,privado,compartido,63,18276
15895,1,privado,compartido,82,44384
15896,2,privado,compartido,25,38927
15897,1,privado,individual,28,16887
15898,3,privado,individual,50,940
15899,0,compartido,compartido,17,23219
15900,1,privado,compartido,51,26263
15901,2,privado,compartido,49,21173
15902,2,compartido,individual,75,28831
15903,0,privado,compartido,51,36682
15904,2,privado,individual,1,12802
15905,2,compartido,compartido,65,43895
15906,3,privado,compartido,61,48155
15907,2,privado,compartido,93,20962
15908,0,compartido,compartido,66,11633
15909,0,compartido,individual,9,14933
15910,2,compartido,individual,1,5258
15911,0,compartido,compartido,42,13402
15912,3,compartido,compartido,99,25979
15913,1,compartido,individual,55,42373
15914,2,compartido,individual,3,18199
15915,0,privado,individual,95,34285
15916,3,privado,individual,65,16335
15917,0,privado,compartido,86,20435
15918,0,privado,compartido,7,7903
15919,0,privado,individual,34,32792
15920,3,compartido,individual,63,31451
15921,3,privado,individual,73,14953
15922,3,compartido,compartido,10,13872
15923,3,privado,compartido,72,5229
15924,3,compartido,compartido,97,43204
15925,1,privado,individual,34,3707
15926,0,compartido,individual,48,34332
15927,2,privado,individual,19,27873
15928,2,compartido,individual,27,27475
15929,1,privado,compartido,42,25131
15930,0,compartido,compartido,57,31600
15931,3,privado,compartido,47,28758
15932,3,privado,compartido,95,42547
15933,3,compartido,individual,36,37263
15934,3,compartido,individual,31,36142
15935,3,compartido,compartido,38,16797
15936,3,compartido,compartido,93,49146
15937,0,compartido,individual,82,8815
15938,1,compartido,compartido,29,26509
15939,0,privado,compartido,95,7096
15940,3,compartido,compartido,47,28486
15941,3,privado,individual,12,41330
15942,1,privado,compartido,90,25040
15943,2,compartido,individual,96,316
15944,2,compartido,individual,31,13159
15945,1,compartido,individual,66,22554
15946,3,privado,compartido,54,22695
15947,3,compartido,compartido,72,9321
15948,3,privado,compartido,28,40851
15949,2,compartido,compartido,49,48373
15950,1,compartido,individual,53,16374
15951,1,privado,compartido,47,44666
15952,0,privado,compartido,16,19340
15953,0,privado,compartido,36,21314
15954,0,compartido,compartido,13,49809
15955,0,privado,compartido,18,48870
15956,3,privado,compartido,49,16978
15957,3,compartido,compartido,99,17070
15958,3,compartido,individual,86,18646
15959,3,compartido,individual,99,31749
15960,2,privado,individual,15,8983
15961,0,privado,compartido,94,13872
15962,0,privado,compartido,70,19060
15963,0,compartido,individual,58,27316
15964,1,compartido,compartido,46,33578
15965,0,compartido,individual,43,45941
15966,2,privado,individual,84,4703
15967,2,privado,compartido,56,35530
15968,1,privado,compartido,50,46667
15969,3,compartido,individual,58,43956
15970,0,privado,individual,22,8341
15971,3,compartido,compartido,85,42489
15972,1,compartido,compartido,58,49088
15973,3,compartido,individual,74,47842
15974,1,privado,compartido,90,2426
15975,0,compartido,individual,50,14126
15976,1,privado,compartido,58,40354
15977,0,privado,compartido,11,46414
15978,0,privado,compartido,6,35126
15979,0,privado,compartido,54,29438
15980,1,privado,individual,12,34485
15981,2,compartido,individual,39,42310
15982,2,privado,individual,5,464
