IDALOJAMIENTO,SERVPUBLICO,ADMINISTRACION,IDENTIFICACIONOPERADORUSUARIO
53536,N,N,44134
53537,Y,N,39727
53538,N,N,5877
53539,Y,Y,43929
53540,N,Y,36550
53541,Y,Y,39991
53542,Y,Y,2550
53543,Y,N,23601
53544,N,Y,31041
53545,N,N,36731
53546,N,N,29559
53547,Y,N,27376
53548,N,N,43156
53549,Y,Y,48646
53550,Y,N,32574
53551,Y,N,30004
53552,Y,N,7232
53553,N,Y,34953
53554,Y,N,12755
53555,Y,Y,17136
53556,Y,Y,20283
53557,N,N,14606
53558,Y,Y,38773
53559,N,Y,16908
53560,Y,N,7230
53561,N,Y,9530
53562,Y,N,12271
53563,N,N,465
53564,N,N,40614
53565,N,N,19012
53566,Y,N,46654
53567,Y,Y,29739
53568,N,N,21622
53569,N,Y,39763
53570,Y,Y,16135
53571,N,Y,29790
53572,Y,Y,21433
53573,N,Y,8565
53574,N,Y,33148
53575,Y,N,5938
53576,N,Y,10198
53577,N,N,14808
53578,N,Y,24649
53579,Y,Y,17628
53580,N,Y,28369
53581,Y,N,36302
53582,N,Y,18521
53583,N,Y,18325
53584,N,N,33289
53585,Y,Y,46223
53586,N,N,25393
53587,Y,N,4999
53588,N,Y,23468
53589,N,Y,45879
53590,N,Y,32865
53591,Y,N,7769
53592,Y,N,5698
53593,N,Y,32936
53594,Y,Y,6210
53595,N,Y,33917
53596,Y,Y,49888
53597,N,Y,20426
53598,Y,Y,26106
53599,Y,Y,41969
53600,Y,N,23550
53601,Y,N,48527
53602,Y,N,27763
53603,N,N,11031
53604,N,Y,47096
53605,Y,N,20642
53606,N,Y,29082
53607,Y,N,30013
53608,N,Y,25785
53609,N,Y,1656
53610,Y,N,35886
53611,N,N,5895
53612,N,Y,5835
53613,Y,Y,1869
53614,N,Y,30566
53615,Y,Y,36921
53616,N,Y,2415
53617,Y,Y,32847
53618,Y,N,7007
53619,N,Y,39516
53620,N,N,36218
53621,N,N,49927
53622,Y,N,4187
53623,N,N,8899
53624,N,N,26331
53625,N,Y,12864
53626,N,Y,21277
53627,Y,N,6576
53628,Y,N,48096
53629,N,N,2664
53630,Y,N,1682
53631,Y,N,18891
53632,Y,Y,21560
53633,N,Y,35699
53634,N,Y,5680
53635,N,N,7863
53636,Y,Y,10535
53637,N,N,19133
53638,N,N,48093
53639,N,N,34300
53640,N,Y,13286
53641,Y,N,14993
53642,Y,N,807
53643,Y,Y,41791
53644,N,Y,8826
53645,Y,N,28888
53646,Y,Y,34985
53647,N,Y,16812
53648,N,Y,39310
53649,Y,Y,486
53650,Y,Y,4768
53651,Y,Y,1912
53652,Y,Y,37031
53653,N,Y,19818
53654,Y,N,44862
53655,Y,Y,19797
53656,N,Y,3753
53657,N,Y,20448
53658,Y,N,24911
53659,Y,Y,22695
53660,Y,N,37844
53661,Y,Y,33522
53662,Y,N,29791
53663,Y,Y,23738
53664,Y,N,25265
53665,Y,Y,35713
53666,N,Y,15515
53667,N,Y,20083
53668,N,Y,27819
53669,Y,Y,34777
53670,N,N,16472
53671,N,Y,23532
53672,N,N,41637
53673,N,Y,13366
53674,Y,Y,17111
53675,Y,N,25856
53676,Y,Y,31819
53677,N,Y,23214
53678,Y,Y,4325
53679,N,N,12427
53680,N,N,22605
53681,Y,N,22919
53682,Y,Y,22242
53683,N,N,2471
53684,N,Y,11353
53685,N,Y,44740
53686,N,N,24664
53687,N,Y,49532
53688,Y,Y,42571
53689,N,Y,18948
53690,N,N,21629
53691,Y,N,36118
53692,N,Y,14180
53693,Y,Y,35879
53694,Y,Y,35605
53695,Y,N,29456
53696,N,N,7442
53697,Y,N,45027
53698,N,Y,7310
53699,Y,N,1890
53700,Y,N,36739
53701,Y,Y,41680
53702,N,N,38161
53703,Y,N,24502
53704,N,N,40238
53705,Y,N,40279
53706,Y,Y,28061
53707,N,Y,39538
53708,Y,Y,45515
53709,N,Y,7002
53710,N,N,48575
53711,N,N,15405
53712,Y,Y,5159
53713,Y,N,39549
53714,N,N,40139
53715,N,Y,26183
53716,N,N,711
53717,Y,N,7380
53718,Y,N,8633
53719,Y,N,14042
53720,Y,Y,29020
53721,Y,Y,21979
53722,N,N,43533
53723,N,Y,22243
53724,N,Y,1713
53725,Y,N,8149
53726,Y,N,19611
53727,N,Y,32068
53728,N,N,23026
53729,Y,Y,7632
53730,Y,N,16868
53731,N,N,13036
53732,Y,Y,14452
53733,N,N,24583
53734,Y,Y,1880
53735,Y,Y,15240
53736,N,Y,15598
53737,Y,N,11382
53738,Y,Y,12910
53739,N,N,7702
53740,N,Y,39042
53741,Y,N,14292
53742,Y,N,15461
53743,Y,Y,49959
53744,Y,Y,1791
53745,Y,N,31905
53746,N,N,44848
53747,Y,Y,20713
53748,Y,Y,21847
53749,N,Y,36030
53750,N,N,31124
53751,Y,N,1486
53752,N,Y,48499
53753,N,Y,31616
53754,Y,Y,436
53755,Y,Y,44850
53756,Y,Y,7635
53757,N,Y,20041
53758,N,Y,49226
53759,N,N,20827
53760,Y,N,31434
53761,N,Y,18044
53762,Y,Y,40089
53763,Y,N,20638
53764,Y,Y,37009
53765,Y,Y,43930
53766,Y,N,26523
53767,N,N,23422
53768,N,N,16948
53769,N,Y,5425
53770,Y,N,475
53771,N,Y,22588
53772,N,N,29618
53773,Y,N,1665
53774,Y,Y,16046
53775,Y,Y,15851
53776,Y,N,7878
53777,Y,Y,18450
53778,N,Y,16460
53779,N,N,39373
53780,N,Y,30410
53781,N,N,31626
53782,Y,Y,27941
53783,N,N,8428
53784,N,Y,49632
53785,N,Y,6716
53786,Y,N,34107
53787,N,Y,33620
53788,Y,N,6352
53789,Y,N,1230
53790,N,Y,13831
53791,Y,Y,8853
53792,N,N,25143
53793,N,N,6180
53794,N,Y,3221
53795,Y,N,679
53796,Y,N,38077
53797,N,N,10252
53798,Y,Y,38145
53799,N,Y,28862
53800,Y,N,12014
53801,Y,N,18016
53802,N,N,24007
53803,N,N,12819
53804,Y,Y,21753
53805,N,Y,22355
53806,N,N,19399
53807,Y,N,47455
53808,N,Y,47595
53809,N,N,33750
53810,Y,N,12682
53811,Y,N,4407
53812,Y,N,30021
53813,N,Y,45527
53814,N,Y,27117
53815,N,Y,27397
53816,Y,N,34073
53817,N,N,24258
53818,Y,Y,41960
53819,N,N,43615
53820,N,N,26072
53821,Y,N,8331
53822,Y,N,7004
53823,N,N,9359
53824,N,Y,8584
53825,N,N,41648
53826,N,Y,27461
53827,N,Y,43947
53828,Y,N,39096
53829,N,N,6302
53830,N,N,35303
53831,Y,N,27599
53832,N,Y,27485
53833,Y,N,2229
53834,N,N,14786
53835,N,N,26389
53836,N,N,48484
53837,Y,N,15523
53838,N,N,7416
53839,Y,Y,6549
53840,N,N,23051
53841,N,Y,39401
53842,N,Y,11772
53843,N,Y,25564
53844,Y,N,9017
53845,N,N,8639
53846,Y,N,35949
53847,N,N,26157
53848,N,N,8171
53849,N,Y,44890
53850,N,Y,42240
53851,N,N,3982
53852,Y,Y,32141
53853,N,N,37827
53854,N,Y,26965
53855,Y,Y,48760
53856,Y,N,10666
53857,N,N,4470
53858,N,N,4793
53859,Y,N,33495
53860,Y,Y,15666
53861,N,N,42784
53862,Y,N,41729
53863,N,Y,11515
53864,Y,Y,13917
53865,Y,N,3296
53866,N,N,30997
53867,N,N,43001
53868,Y,N,4540
53869,N,Y,44258
53870,Y,Y,43416
53871,Y,N,923
53872,N,Y,47910
53873,N,N,7287
53874,N,N,32239
53875,N,N,2722
53876,Y,N,34129
53877,Y,Y,6321
53878,Y,N,5069
53879,N,N,15413
53880,N,N,3331
53881,N,N,14009
53882,N,N,4660
53883,N,N,13315
53884,Y,N,22924
53885,Y,Y,4212
53886,Y,Y,27101
53887,N,N,22642
53888,Y,N,43891
53889,Y,N,7477
53890,N,Y,12204
53891,N,Y,22307
53892,Y,N,22731
53893,Y,N,42150
53894,N,N,37417
53895,Y,N,20823
53896,Y,Y,43935
53897,N,Y,6571
53898,Y,Y,17032
53899,N,N,33143
53900,Y,Y,28987
53901,Y,N,49700
53902,N,N,8808
53903,N,N,8763
53904,N,N,48920
53905,Y,N,18925
53906,Y,N,35532
53907,Y,Y,15072
53908,Y,Y,36331
53909,Y,Y,23069
53910,N,Y,41017
53911,N,Y,4744
53912,N,Y,27375
53913,N,N,18602
53914,Y,N,3746
53915,Y,Y,15080
53916,N,Y,24466
53917,N,Y,2205
53918,N,N,8509
53919,N,N,35405
53920,N,Y,7023
53921,Y,N,5252
53922,Y,N,29735
53923,N,Y,9150
53924,Y,Y,14336
53925,Y,N,30893
53926,Y,Y,45140
53927,N,N,25266
53928,Y,N,37531
53929,N,N,3529
53930,Y,Y,1664
53931,Y,Y,45696
53932,N,N,25544
53933,Y,Y,18765
53934,N,N,33611
53935,N,Y,38333
53936,N,N,13819
53937,N,Y,13034
53938,Y,N,8919
53939,N,N,36512
53940,N,Y,3805
53941,N,N,20267
53942,Y,N,5456
53943,Y,Y,25116
53944,Y,Y,23822
53945,N,Y,21089
53946,N,N,46404
53947,N,N,26266
53948,N,Y,26057
53949,N,N,47399
53950,Y,N,30862
53951,N,Y,31220
53952,N,N,43386
53953,Y,N,22360
53954,N,N,45643
53955,Y,N,32074
53956,Y,N,31485
53957,Y,Y,424
53958,N,Y,43506
53959,Y,Y,23049
53960,N,Y,16057
53961,N,Y,46519
53962,Y,Y,14682
53963,Y,N,39793
53964,N,N,28653
53965,Y,Y,21875
53966,N,N,29615
53967,Y,Y,18371
53968,Y,N,20278
53969,N,Y,32058
53970,Y,N,45286
53971,Y,N,442
53972,N,Y,13401
53973,Y,N,18581
53974,Y,Y,9027
53975,Y,Y,48923
53976,Y,Y,21656
53977,Y,N,45147
53978,Y,N,20158
53979,Y,Y,36145
53980,Y,N,35693
53981,N,Y,21934
53982,Y,N,1921
53983,Y,Y,46548
53984,N,N,95
53985,N,Y,45926
53986,Y,N,4457
53987,N,Y,15221
53988,N,Y,44375
53989,Y,N,12997
53990,Y,N,13395
53991,Y,Y,49461
53992,N,N,28826
53993,Y,Y,38962
53994,N,Y,29466
53995,Y,Y,13303
53996,N,N,7433
53997,N,Y,46232
53998,Y,N,16074
53999,Y,N,1820
54000,Y,N,31624
54001,Y,Y,13905
54002,Y,Y,32715
54003,Y,N,3351
54004,N,Y,47510
54005,N,N,47157
54006,N,N,26961
54007,N,Y,43257
54008,N,N,39813
54009,Y,Y,35412
54010,Y,Y,47778
54011,Y,Y,33236
54012,Y,Y,46126
54013,Y,N,49207
54014,Y,N,3987
54015,N,Y,43193
54016,N,Y,43083
54017,N,Y,22713
54018,Y,Y,23599
54019,Y,N,39613
54020,Y,Y,27990
54021,Y,Y,29061
54022,N,N,26472
54023,N,N,44631
54024,N,N,35217
54025,N,N,33038
54026,N,Y,41068
54027,Y,Y,7507
54028,N,Y,20338
54029,N,Y,24100
54030,N,Y,26222
54031,Y,N,15110
54032,Y,N,28139
54033,Y,N,33754
54034,Y,N,29364
54035,Y,Y,10638
54036,N,N,20596
54037,N,Y,44373
54038,N,N,34434
54039,N,Y,20239
54040,Y,N,48391
54041,N,N,49499
54042,N,N,21303
54043,Y,Y,42360
54044,N,N,38945
54045,Y,Y,45273
54046,N,N,24299
54047,Y,N,29458
54048,Y,Y,48084
54049,Y,Y,49357
54050,N,Y,21531
54051,N,N,32337
54052,Y,Y,36522
54053,Y,N,18862
54054,Y,N,1655
54055,Y,Y,39789
54056,N,Y,28711
54057,N,Y,48672
54058,Y,N,39316
54059,Y,N,26887
54060,N,Y,16212
54061,Y,Y,19809
54062,Y,N,22812
54063,N,Y,44299
54064,Y,Y,27918
54065,Y,N,30889
54066,Y,N,21955
54067,Y,Y,45103
54068,N,N,7503
54069,Y,Y,17654
54070,Y,N,24903
54071,Y,Y,44370
54072,N,Y,26531
54073,Y,Y,20306
54074,Y,N,45164
54075,N,N,5174
54076,Y,Y,14763
54077,N,Y,8714
54078,Y,Y,23607
54079,Y,Y,13996
54080,Y,Y,39784
54081,N,Y,166
54082,Y,N,41865
54083,N,N,46134
54084,N,N,18210
54085,Y,Y,20417
54086,Y,N,2950
54087,Y,Y,34825
54088,Y,N,46097
54089,N,Y,42175
54090,Y,N,10936
54091,N,Y,31048
54092,N,Y,30456
54093,Y,Y,27121
54094,N,Y,31546
54095,Y,Y,3293
54096,N,Y,39108
54097,Y,N,25173
54098,N,N,30328
54099,N,Y,11657
54100,Y,N,13439
54101,Y,Y,15094
54102,Y,N,48321
54103,N,N,5130
54104,Y,N,18579
54105,N,Y,19822
54106,Y,N,42202
54107,N,Y,10670
54108,Y,Y,35347
54109,N,Y,33106
54110,N,Y,17829
54111,Y,N,9966
54112,N,Y,38661
54113,Y,N,46221
54114,N,N,12189
54115,N,Y,22527
54116,N,N,39344
54117,Y,Y,1418
54118,N,Y,41216
54119,Y,Y,27472
54120,N,N,34450
54121,N,Y,26238
54122,Y,Y,19977
54123,Y,Y,28654
54124,Y,Y,10711
54125,N,N,3993
54126,Y,Y,26129
54127,Y,N,20305
54128,Y,Y,42724
54129,Y,N,39307
54130,Y,N,29321
54131,Y,Y,35520
54132,N,Y,2116
54133,Y,Y,22103
54134,Y,Y,32499
54135,Y,Y,1396
54136,Y,Y,32607
54137,N,N,28033
54138,N,Y,32315
54139,N,N,31263
54140,N,Y,40885
54141,Y,N,35138
54142,N,N,4538
54143,N,Y,27088
54144,Y,N,9550
54145,N,N,19720
54146,N,N,10535
54147,Y,N,41505
54148,Y,N,25882
54149,Y,Y,39048
54150,Y,N,27368
54151,Y,Y,14624
54152,Y,Y,36700
54153,Y,Y,2083
54154,N,Y,35317
54155,N,Y,5329
54156,N,Y,34406
54157,N,Y,25975
54158,Y,N,29365
54159,N,Y,4321
54160,Y,N,25481
54161,Y,Y,2557
54162,Y,N,10990
54163,N,N,6100
54164,Y,N,45822
54165,N,Y,26827
54166,N,N,40634
54167,N,Y,11791
54168,N,N,25446
54169,N,Y,49805
54170,N,N,3179
54171,N,Y,629
54172,N,Y,5068
54173,Y,N,33470
54174,Y,N,15106
54175,Y,N,6480
54176,N,Y,33281
54177,N,Y,16085
54178,N,N,19667
54179,N,Y,10767
54180,N,Y,11076
54181,Y,Y,42722
54182,N,Y,25708
54183,Y,Y,8898
54184,Y,N,7960
54185,N,Y,17599
54186,Y,N,8027
54187,Y,Y,28549
54188,Y,Y,11201
54189,N,Y,37962
54190,Y,Y,23098
54191,N,N,17688
54192,Y,N,13211
54193,Y,N,30163
54194,Y,Y,15247
54195,N,N,16453
54196,Y,N,13851
54197,N,N,30474
54198,N,Y,29331
54199,Y,N,20433
54200,N,N,17338
54201,N,Y,8734
54202,N,Y,12355
54203,Y,N,2524
54204,N,Y,42441
54205,Y,Y,13380
54206,Y,Y,26811
54207,Y,Y,4967
54208,Y,Y,17384
54209,N,Y,34606
54210,N,Y,25896
54211,Y,Y,46100
54212,N,Y,35050
54213,Y,Y,5144
54214,N,N,8802
54215,N,Y,11713
54216,N,Y,3723
54217,N,N,7920
54218,N,Y,21987
54219,N,Y,21350
54220,Y,N,46124
54221,N,Y,40308
54222,N,Y,11378
54223,N,Y,19355
54224,Y,N,10857
54225,N,N,37125
54226,Y,N,30366
54227,N,N,21168
54228,N,Y,94
54229,Y,Y,6540
54230,Y,N,743
54231,N,Y,25563
54232,Y,Y,45330
54233,N,Y,39388
54234,N,N,46447
54235,N,N,7209
54236,Y,Y,35642
54237,Y,Y,25133
54238,N,N,37960
54239,Y,N,19643
54240,Y,N,22052
54241,Y,N,25717
54242,N,Y,27844
54243,Y,Y,46776
54244,N,N,48703
54245,N,Y,27120
54246,Y,N,10097
54247,N,N,24633
54248,Y,N,18558
54249,Y,N,36824
54250,Y,N,46086
54251,Y,N,37665
54252,Y,Y,16590
54253,Y,Y,23714
54254,N,N,44893
54255,N,Y,45601
54256,N,Y,20721
54257,Y,N,26540
54258,Y,Y,43726
54259,Y,N,1764
54260,N,Y,21702
54261,N,Y,21588
54262,N,N,47955
54263,Y,Y,38775
54264,Y,N,33720
54265,N,N,19946
54266,Y,Y,44409
54267,N,N,29716
54268,Y,N,21887
54269,N,Y,22290
54270,Y,N,18465
54271,Y,N,4092
54272,N,Y,23374
54273,N,N,31036
54274,Y,N,20185
54275,Y,N,2957
54276,Y,Y,20340
54277,Y,Y,6853
54278,N,N,12010
54279,N,N,39576
54280,N,N,7273
54281,Y,Y,29592
54282,Y,N,43681
54283,Y,Y,28010
54284,N,Y,715
54285,N,Y,17869
54286,Y,Y,46763
54287,N,N,42837
54288,N,N,49954
54289,N,N,7384
54290,N,N,38212
54291,Y,Y,23047
54292,Y,Y,40945
54293,N,Y,4645
54294,Y,N,48328
54295,N,Y,8824
54296,N,Y,32895
54297,Y,N,12200
54298,N,Y,48834
54299,N,Y,30482
54300,Y,N,36817
54301,N,N,19248
54302,N,N,41479
54303,N,N,45233
54304,Y,Y,17419
54305,Y,N,5247
54306,Y,Y,42186
54307,Y,N,25095
54308,Y,N,47267
54309,N,N,47225
54310,Y,Y,25347
54311,Y,Y,43971
54312,Y,Y,33609
54313,Y,N,28459
54314,N,Y,7483
54315,N,Y,8481
54316,N,Y,31914
54317,N,Y,43600
54318,Y,N,49923
54319,Y,Y,20203
54320,Y,N,44506
54321,N,N,19546
54322,Y,Y,13329
54323,Y,Y,8147
54324,N,Y,26559
54325,N,Y,16227
54326,N,Y,12985
54327,Y,N,22426
54328,N,Y,33312
54329,Y,N,42297
54330,N,Y,46730
54331,N,Y,27634
54332,Y,N,26166
54333,Y,Y,3868
54334,N,N,20424
54335,Y,Y,27067
54336,Y,Y,14301
54337,Y,Y,17135
54338,N,N,10368
54339,N,Y,43478
54340,N,N,16481
54341,Y,N,39457
54342,Y,Y,22838
54343,Y,Y,36434
54344,Y,Y,10358
54345,Y,N,32759
54346,N,Y,34070
54347,N,N,3341
54348,Y,Y,7878
54349,N,N,23694
54350,N,N,43751
54351,N,Y,1486
54352,N,Y,16608
54353,Y,Y,25478
54354,Y,N,40380
54355,N,Y,23824
54356,N,N,5391
54357,Y,N,31560
54358,Y,N,29909
54359,Y,N,29094
54360,Y,N,18835
54361,Y,N,28492
54362,Y,Y,44864
54363,Y,N,5738
54364,N,Y,31642
54365,Y,Y,45205
54366,Y,N,650
54367,N,Y,22998
54368,N,Y,14
54369,Y,Y,39463
54370,Y,Y,10608
54371,Y,Y,48334
54372,Y,Y,34330
54373,Y,Y,7116
54374,Y,N,13793
54375,Y,Y,16913
54376,Y,N,30294
54377,N,N,8446
54378,N,N,6511
54379,N,Y,41008
54380,N,Y,38541
54381,Y,N,15826
54382,N,N,49686
54383,Y,Y,10712
54384,N,N,41977
54385,Y,N,30279
54386,N,Y,9690
54387,Y,Y,10933
54388,Y,N,44361
54389,Y,Y,20083
54390,Y,Y,49470
54391,Y,Y,11557
54392,N,Y,20660
54393,N,N,31812
54394,Y,N,25399
54395,Y,N,47203
54396,N,Y,11562
54397,N,N,8861
54398,Y,Y,16492
54399,N,Y,14765
54400,N,N,30098
54401,N,N,23282
54402,N,Y,17441
54403,Y,N,19499
54404,Y,N,32529
54405,Y,N,11214
54406,Y,Y,47594
54407,Y,Y,17443
54408,Y,N,30466
54409,Y,N,25094
54410,Y,Y,47553
54411,N,Y,5790
54412,Y,Y,40792
54413,Y,N,19730
54414,Y,Y,16035
54415,Y,N,10354
54416,N,N,23737
54417,Y,N,47721
54418,Y,N,23415
54419,N,Y,47250
54420,Y,N,33732
54421,N,N,37591
54422,N,N,2879
54423,N,N,28595
54424,Y,Y,48886
54425,Y,N,35597
54426,N,N,10104
54427,Y,N,41492
54428,Y,N,40805
54429,Y,Y,38852
54430,N,N,49889
54431,Y,N,27060
54432,N,N,43226
54433,N,N,16688
54434,N,N,44811
54435,N,N,31936
54436,N,Y,49253
54437,Y,Y,47067
54438,Y,Y,26072
54439,N,N,6569
54440,Y,N,20580
54441,Y,Y,35839
54442,Y,Y,21149
54443,N,Y,33700
54444,N,Y,29806
54445,N,N,5356
54446,Y,Y,34433
54447,Y,N,32165
54448,N,Y,7938
54449,Y,N,6195
54450,N,N,14012
54451,Y,N,29657
54452,Y,Y,12781
54453,N,Y,48287
54454,N,N,42819
54455,N,N,38103
54456,Y,Y,29424
54457,N,N,36987
54458,Y,Y,46928
54459,Y,Y,44763
54460,N,Y,38933
54461,Y,Y,14613
54462,Y,Y,12217
54463,N,N,15454
54464,Y,Y,20430
54465,N,Y,49359
54466,N,N,24794
54467,N,Y,12111
54468,N,Y,11995
54469,Y,N,21115
54470,N,N,20029
54471,N,N,46583
54472,Y,Y,48750
54473,N,Y,13981
54474,N,N,12177
54475,Y,Y,19454
54476,Y,Y,13182
54477,Y,N,5985
54478,Y,N,17103
54479,N,N,30033
54480,Y,N,6523
54481,N,N,45606
54482,Y,N,36011
54483,Y,N,13763
54484,N,Y,28973
54485,Y,N,9296
54486,Y,N,38637
54487,Y,N,19388
54488,N,N,31610
54489,N,N,27033
54490,Y,N,33777
54491,N,N,12083
54492,Y,N,24275
54493,Y,N,38051
54494,Y,N,18013
54495,Y,Y,11588
54496,Y,N,14483
54497,Y,N,27951
54498,Y,Y,17321
54499,N,Y,24382
54500,N,N,37858
54501,N,Y,49695
54502,N,Y,45159
54503,Y,N,24629
54504,N,Y,21738
54505,N,Y,5358
54506,Y,Y,37567
54507,Y,N,36421
54508,N,N,8419
54509,Y,N,8114
54510,Y,N,42855
54511,N,Y,12909
54512,Y,N,11205
54513,N,N,32021
54514,N,Y,33229
54515,N,Y,28441
54516,Y,Y,38432
54517,N,Y,28597
54518,Y,Y,7704
54519,N,Y,40510
54520,N,Y,20325
54521,N,Y,23354
54522,Y,Y,44395
54523,Y,N,22226
54524,Y,N,36025
54525,Y,N,27372
54526,N,Y,41975
54527,Y,N,27391
54528,Y,Y,38280
54529,Y,Y,43199
54530,N,Y,14535
54531,N,N,30410
54532,N,Y,38532
54533,N,N,3381
54534,Y,Y,7404
54535,N,Y,26374
54536,Y,N,7535
54537,Y,Y,14441
54538,Y,N,20794
54539,Y,N,13244
54540,Y,Y,40699
54541,N,Y,7165
54542,N,N,25113
54543,Y,Y,19990
54544,N,N,23535
54545,Y,N,34717
54546,Y,Y,30671
54547,Y,Y,5536
54548,Y,N,1501
54549,Y,Y,17417
54550,N,Y,18292
54551,Y,Y,44479
54552,Y,N,42474
54553,Y,Y,3777
54554,N,Y,7293
54555,Y,Y,48710
54556,Y,N,17282
54557,N,N,26208
54558,N,Y,47131
54559,N,N,16247
54560,N,N,20106
54561,Y,N,23019
54562,Y,Y,34470
54563,Y,Y,1735
54564,Y,Y,12015
54565,N,Y,18440
54566,N,N,37108
54567,N,Y,40370
54568,N,N,41670
54569,N,N,24073
54570,Y,Y,43285
54571,N,N,43511
54572,Y,Y,37806
54573,N,Y,33939
54574,Y,N,12267
54575,Y,Y,34063
54576,Y,N,16182
54577,Y,N,46260
54578,Y,N,38992
54579,Y,N,2462
54580,Y,Y,20847
54581,N,N,30942
54582,Y,N,16979
54583,Y,N,1392
54584,Y,N,9455
54585,N,N,23192
54586,Y,Y,14411
54587,N,N,32981
54588,Y,N,23130
54589,N,N,42961
54590,Y,N,41505
54591,Y,Y,14250
54592,N,Y,18856
54593,Y,N,13868
54594,N,N,25455
54595,N,Y,34686
54596,N,Y,4174
54597,Y,N,20391
54598,N,Y,15808
54599,N,Y,37842
54600,Y,N,27335
54601,Y,N,17296
54602,Y,N,26943
54603,Y,Y,8353
54604,Y,Y,22130
54605,Y,N,45667
54606,N,N,17634
54607,N,Y,31486
54608,N,Y,13825
54609,Y,Y,49967
54610,N,N,3931
54611,N,N,33417
54612,N,N,47323
54613,N,N,26376
54614,N,N,22558
54615,Y,N,26331
54616,N,Y,13895
54617,N,Y,22008
54618,Y,N,9207
54619,Y,Y,19879
54620,N,Y,13703
54621,N,Y,27901
54622,Y,N,23206
54623,Y,Y,36249
54624,Y,Y,37585
54625,Y,Y,47245
54626,N,N,9100
54627,Y,Y,39701
54628,Y,Y,2666
54629,Y,N,30572
54630,Y,Y,9118
54631,N,Y,9999
54632,N,Y,44239
54633,N,Y,10478
54634,Y,Y,39729
54635,N,Y,13286
54636,N,Y,14903
54637,N,Y,31708
54638,N,N,41947
54639,Y,Y,35122
54640,Y,N,20470
54641,Y,N,9654
54642,Y,N,30969
54643,N,Y,27787
54644,N,Y,23743
54645,Y,Y,12860
54646,Y,Y,30884
54647,Y,Y,38976
54648,N,Y,32844
54649,Y,Y,3766
54650,N,N,39578
54651,N,N,7331
54652,Y,Y,10296
54653,Y,Y,39868
54654,N,N,38914
54655,N,Y,20942
54656,Y,N,23328
54657,Y,N,18793
54658,Y,N,3453
54659,Y,N,7045
54660,Y,Y,32071
54661,Y,N,15319
54662,Y,N,1972
54663,Y,N,29711
54664,N,Y,46130
54665,Y,N,29493
54666,Y,Y,37081
54667,N,N,47195
54668,Y,Y,27890
54669,Y,N,13443
54670,Y,N,44581
54671,Y,Y,49908
54672,N,Y,44526
54673,Y,N,47605
54674,N,Y,25059
54675,Y,N,24692
54676,N,Y,1875
54677,N,Y,47431
54678,Y,Y,22496
54679,Y,Y,18093
54680,N,Y,36213
54681,N,N,16083
54682,Y,N,34457
54683,N,N,15931
54684,N,N,39640
54685,N,N,10131
54686,N,Y,22100
54687,Y,Y,20058
54688,Y,Y,21769
54689,Y,N,14649
54690,N,Y,32504
54691,Y,Y,41854
54692,Y,Y,42916
54693,Y,Y,26682
54694,N,Y,32342
54695,Y,Y,37591
54696,N,N,1726
54697,N,N,30836
54698,Y,N,42176
54699,N,N,31487
54700,Y,N,32639
54701,Y,Y,11235
54702,Y,N,22847
54703,N,N,37641
54704,N,N,37867
54705,N,Y,23351
54706,Y,Y,22561
54707,N,Y,37043
54708,Y,N,24561
54709,Y,Y,45243
54710,Y,Y,39338
54711,Y,N,23158
54712,N,N,8014
54713,Y,Y,23379
54714,Y,Y,9193
54715,Y,N,41780
54716,N,N,11624
54717,Y,N,31307
54718,N,N,21572
54719,Y,Y,39371
54720,Y,N,43589
54721,N,N,4297
54722,Y,N,18468
54723,Y,Y,24253
54724,N,N,32371
54725,Y,N,5380
54726,Y,N,36204
54727,Y,Y,43294
54728,Y,N,4677
54729,Y,N,34444
54730,Y,Y,1276
54731,N,Y,32776
54732,Y,Y,42351
54733,N,N,37992
54734,N,N,25464
54735,Y,Y,16170
54736,N,N,46202
54737,Y,N,35049
54738,Y,N,15044
54739,Y,Y,25711
54740,Y,N,14349
54741,Y,Y,10520
54742,N,N,1330
54743,N,Y,46013
54744,Y,Y,30487
54745,N,N,36047
54746,N,Y,33518
54747,N,Y,19461
54748,N,N,13527
54749,N,Y,34910
54750,N,N,8161
54751,Y,N,8484
54752,N,N,21089
54753,Y,Y,17691
54754,Y,N,43662
54755,N,Y,44281
54756,N,N,42520
54757,Y,Y,805
54758,N,Y,34339
54759,N,Y,38696
54760,N,N,7142
54761,Y,N,36372
54762,N,Y,15475
54763,N,N,25292
54764,N,Y,35296
54765,N,N,44281
54766,N,Y,25218
54767,N,Y,1944
54768,Y,N,10664
54769,Y,Y,20086
54770,N,Y,39985
54771,Y,Y,19339
54772,Y,Y,21003
54773,N,Y,35249
54774,N,Y,2907
54775,N,Y,23562
54776,N,Y,8790
54777,N,Y,9247
54778,Y,N,9951
54779,N,N,26998
54780,N,N,40305
54781,N,N,6636
54782,Y,Y,31767
54783,Y,N,13373
54784,N,N,4233
54785,Y,Y,17510
54786,N,N,44834
54787,Y,N,28464
54788,Y,Y,39186
54789,N,Y,16365
54790,Y,N,7044
54791,N,Y,33636
54792,N,Y,45997
54793,Y,Y,14880
54794,N,N,46014
54795,Y,Y,41782
54796,N,Y,47279
54797,N,N,44354
54798,N,N,11672
54799,Y,N,29129
54800,Y,Y,42975
54801,Y,N,3628
