ID,TIPOHABITACION,CAPACIDAD,IDVIVIENDAUNIVERSITARIA
196162,compartido,1,15159
196163,individual,4,2738
196164,individual,4,17605
196165,individual,4,4947
196166,compartido,3,1932
196167,individual,2,362
196168,compartido,4,17214
196169,compartido,3,13964
196170,compartido,4,14642
196171,individual,2,7761
196172,individual,3,11550
196173,compartido,3,19433
196174,individual,2,16037
196175,compartido,4,8985
196176,compartido,2,4697
196177,compartido,1,12532
196178,compartido,1,13622
196179,individual,3,14296
196180,compartido,1,192
196181,individual,3,13235
196182,individual,2,9983
196183,compartido,2,14270
196184,compartido,3,14411
196185,compartido,2,11157
196186,individual,4,2253
196187,compartido,1,9678
196188,compartido,2,18287
196189,individual,4,4113
196190,individual,2,19135
196191,individual,1,8148
196192,individual,2,2868
196193,individual,2,19053
196194,individual,2,15891
196195,individual,3,7744
196196,compartido,2,19562
196197,individual,3,3160
196198,individual,3,1730
196199,individual,1,14255
196200,compartido,2,12204
196201,compartido,4,6705
196202,compartido,3,9748
196203,individual,3,16127
196204,individual,2,11594
196205,compartido,1,15559
196206,individual,1,13138
196207,compartido,2,7613
196208,compartido,3,18074
196209,compartido,3,13121
196210,compartido,1,15107
196211,compartido,2,8073
196212,individual,1,3288
196213,individual,3,8326
196214,individual,4,12373
196215,individual,1,1959
196216,compartido,2,14810
196217,individual,2,10344
196218,compartido,2,15583
196219,compartido,3,746
196220,individual,4,12951
196221,compartido,4,12552
196222,individual,2,1273
196223,compartido,3,3198
196224,individual,3,16340
196225,compartido,2,17747
196226,compartido,1,13203
196227,individual,4,2467
196228,compartido,4,13654
196229,individual,2,12176
196230,compartido,1,8549
196231,compartido,2,19367
196232,compartido,1,18937
196233,compartido,3,7364
196234,compartido,4,19368
196235,compartido,1,12896
196236,individual,4,11976
196237,individual,1,16727
196238,individual,2,7771
196239,individual,4,4569
196240,compartido,3,5445
196241,individual,1,1396
196242,individual,2,7932
196243,individual,3,5490
196244,individual,3,17253
196245,compartido,1,16500
196246,compartido,3,19232
196247,compartido,4,237
196248,compartido,4,15917
196249,individual,2,10839
196250,individual,3,19294
196251,compartido,3,17461
196252,compartido,1,16326
196253,individual,3,12020
196254,individual,3,1679
196255,individual,1,7645
196256,compartido,3,2420
196257,individual,4,7726
196258,individual,1,14560
196259,individual,3,13351
196260,compartido,4,628
196261,compartido,2,4483
196262,compartido,4,9778
196263,compartido,3,16577
196264,individual,4,18886
196265,compartido,1,16161
196266,compartido,3,19133
196267,individual,3,13389
196268,individual,2,1947
196269,individual,2,6459
196270,compartido,2,14137
196271,compartido,1,6728
196272,individual,3,16126
196273,compartido,4,12431
196274,individual,4,8492
196275,individual,4,4144
196276,compartido,2,10144
196277,compartido,1,9258
196278,individual,3,16478
196279,compartido,1,9042
196280,compartido,4,4030
196281,compartido,2,3967
196282,individual,3,11903
196283,compartido,3,17628
196284,individual,2,16360
196285,individual,4,2084
196286,individual,2,17769
196287,individual,3,4523
196288,compartido,3,746
196289,individual,3,5797
196290,compartido,2,6688
196291,individual,3,14222
196292,individual,4,1421
196293,individual,2,12813
196294,compartido,2,13284
196295,individual,4,11764
196296,individual,1,1256
196297,compartido,4,15646
196298,individual,3,13119
196299,individual,1,12126
196300,compartido,4,1903
196301,individual,3,11352
196302,compartido,4,324
196303,compartido,1,15837
196304,individual,1,19425
196305,compartido,4,12758
196306,compartido,4,1661
196307,compartido,2,382
196308,individual,1,3418
196309,individual,4,17588
196310,compartido,1,10831
196311,individual,1,2838
196312,compartido,1,18189
196313,compartido,3,7411
196314,compartido,2,16151
196315,compartido,1,5268
196316,compartido,4,15038
196317,compartido,2,1616
196318,compartido,3,17564
196319,individual,4,11754
196320,individual,3,14814
196321,compartido,2,7255
196322,compartido,4,9347
196323,individual,1,9424
196324,individual,4,15453
196325,individual,3,19197
196326,individual,3,11133
196327,compartido,1,2295
196328,individual,1,7609
196329,compartido,4,7127
196330,compartido,2,17058
196331,individual,3,7441
196332,compartido,1,8368
196333,individual,2,8719
196334,compartido,3,19568
196335,compartido,2,5211
196336,individual,2,14507
196337,compartido,2,18462
196338,compartido,3,19499
196339,individual,1,4113
196340,compartido,3,13091
196341,compartido,2,11028
196342,individual,1,9123
196343,individual,3,17772
196344,compartido,2,17505
196345,individual,4,10528
196346,individual,1,9701
196347,individual,2,5319
196348,compartido,1,18715
196349,individual,4,5783
196350,individual,1,5862
196351,individual,1,8549
196352,individual,2,313
196353,compartido,4,12170
196354,compartido,3,19906
196355,compartido,1,18580
196356,compartido,4,12086
196357,compartido,2,13644
196358,individual,2,15574
196359,individual,4,2594
196360,individual,2,14851
196361,individual,3,9346
196362,individual,3,16624
196363,individual,4,12850
196364,compartido,1,12282
196365,individual,4,13561
196366,individual,1,5999
196367,individual,4,4990
196368,compartido,1,5286
196369,individual,1,12248
196370,individual,1,19710
196371,individual,2,10110
196372,compartido,2,1506
196373,compartido,3,10993
196374,individual,3,17789
196375,compartido,4,424
196376,compartido,1,3880
196377,compartido,2,5780
196378,individual,3,3022
196379,individual,2,19574
196380,individual,2,10324
196381,individual,4,6500
196382,individual,2,7756
196383,individual,1,4286
196384,compartido,3,7815
196385,individual,4,13207
196386,individual,1,9041
196387,compartido,2,15617
196388,compartido,2,19128
196389,compartido,4,8325
196390,compartido,4,13789
196391,individual,1,4025
196392,individual,3,13785
196393,individual,1,7999
196394,individual,4,1519
196395,individual,2,9064
196396,individual,3,19110
196397,individual,1,11965
196398,individual,2,16831
196399,individual,4,7572
196400,individual,4,7246
196401,compartido,1,11708
196402,individual,1,7035
196403,compartido,2,707
196404,individual,4,13692
196405,compartido,3,8130
196406,compartido,3,6139
196407,individual,4,5858
196408,compartido,1,14850
196409,individual,2,16450
196410,individual,1,7962
196411,individual,2,11939
196412,individual,4,3305
196413,compartido,4,4349
196414,individual,4,12189
196415,compartido,2,11873
196416,individual,2,19878
196417,individual,2,3121
196418,compartido,3,10341
196419,compartido,3,15507
196420,compartido,3,18953
196421,individual,4,15615
196422,individual,3,9164
196423,individual,2,18832
196424,individual,3,11056
196425,individual,2,17430
196426,individual,2,12600
196427,individual,2,8982
196428,compartido,2,3961
196429,individual,2,161
196430,individual,1,6131
196431,compartido,2,10328
196432,individual,4,11984
196433,compartido,3,5436
196434,compartido,4,4278
196435,individual,1,15812
196436,compartido,4,13857
196437,individual,1,17691
196438,individual,3,3990
196439,compartido,3,5579
196440,compartido,3,10719
196441,individual,3,10248
196442,compartido,2,3923
196443,compartido,3,12432
196444,compartido,3,16212
196445,compartido,4,1907
196446,individual,1,15331
196447,individual,3,11965
196448,individual,1,19705
196449,individual,1,8728
196450,individual,1,7621
196451,compartido,1,7107
196452,compartido,4,17771
196453,compartido,2,6640
196454,individual,4,19460
196455,individual,1,9897
196456,compartido,4,10903
196457,compartido,4,2081
196458,compartido,3,14690
196459,individual,2,18375
196460,compartido,2,8329
196461,individual,3,7739
196462,compartido,1,11366
196463,compartido,4,17244
196464,individual,4,844
196465,compartido,2,12285
196466,compartido,4,4609
196467,individual,1,14723
196468,compartido,4,11997
196469,compartido,1,15312
196470,compartido,3,14991
196471,compartido,3,4954
196472,compartido,4,9574
196473,individual,3,6393
196474,compartido,3,4749
196475,individual,1,5689
196476,individual,3,5360
196477,individual,2,14602
196478,compartido,1,17534
196479,individual,4,17777
196480,individual,2,1138
196481,individual,2,16878
196482,compartido,2,15622
196483,compartido,2,9848
196484,compartido,3,11590
196485,individual,3,12672
196486,individual,4,17738
196487,compartido,4,12375
196488,compartido,3,11724
196489,compartido,4,14675
196490,individual,2,19822
196491,individual,2,3258
196492,individual,3,6798
196493,compartido,4,16994
196494,individual,2,969
196495,individual,3,13741
196496,compartido,2,12605
196497,compartido,1,16182
196498,individual,3,7259
196499,individual,4,15575
196500,individual,2,4810
196501,individual,3,1117
196502,individual,3,13346
196503,compartido,3,19935
196504,compartido,3,11371
196505,compartido,4,16381
196506,compartido,4,18131
196507,individual,3,15448
196508,compartido,3,8768
196509,compartido,4,1939
196510,compartido,1,9635
196511,compartido,1,16284
196512,individual,3,294
196513,compartido,4,13658
196514,individual,2,12617
196515,compartido,3,16684
196516,compartido,2,236
196517,compartido,3,14991
196518,compartido,3,17520
196519,compartido,1,14809
196520,individual,1,18479
196521,individual,4,2488
196522,individual,2,8174
196523,compartido,1,788
196524,compartido,4,16396
196525,individual,4,12154
196526,compartido,4,4976
196527,individual,4,19521
196528,compartido,3,7350
196529,compartido,3,5445
196530,individual,4,11003
196531,individual,4,4504
196532,compartido,1,8102
196533,individual,1,4195
196534,compartido,3,13754
196535,compartido,4,19543
196536,individual,3,16302
196537,individual,3,17242
196538,compartido,4,7517
196539,compartido,3,3988
196540,compartido,4,8440
196541,compartido,2,1371
196542,individual,3,1854
196543,compartido,1,1069
196544,individual,3,3750
196545,individual,2,5745
196546,individual,1,14591
196547,individual,1,16304
196548,compartido,3,10956
196549,individual,1,11954
196550,compartido,4,653
196551,individual,4,6898
196552,compartido,3,2152
196553,compartido,1,5559
196554,individual,4,16710
196555,compartido,2,13535
196556,compartido,3,5909
196557,individual,1,7359
196558,individual,3,688
196559,individual,1,6190
196560,compartido,4,7673
196561,individual,4,17991
196562,compartido,4,15677
196563,compartido,3,14031
196564,individual,3,11019
196565,compartido,1,17003
196566,compartido,2,9581
196567,compartido,4,10538
196568,individual,1,4928
196569,individual,1,8796
196570,compartido,2,4759
196571,compartido,2,2622
196572,individual,2,15730
196573,compartido,2,1982
196574,individual,1,4005
196575,individual,3,5680
196576,compartido,1,8820
196577,compartido,3,1167
196578,compartido,2,9667
196579,compartido,4,12844
196580,individual,3,7879
196581,individual,3,14214
196582,individual,2,2516
196583,compartido,2,9812
196584,individual,1,16625
196585,compartido,4,17842
196586,compartido,4,13184
196587,individual,4,7074
196588,compartido,4,7748
196589,individual,3,15609
196590,individual,4,15100
196591,compartido,3,1215
196592,individual,1,4436
196593,compartido,2,1836
196594,compartido,1,14396
196595,individual,2,11342
196596,compartido,1,13152
196597,compartido,3,16969
196598,compartido,1,10227
196599,compartido,3,19763
196600,compartido,1,2869
196601,compartido,4,19449
196602,compartido,4,9407
196603,compartido,1,12733
196604,individual,1,3448
196605,individual,1,3481
196606,individual,1,19933
196607,compartido,2,2870
196608,individual,2,420
196609,individual,1,6833
196610,individual,3,7537
196611,compartido,1,17464
196612,compartido,3,3125
196613,compartido,2,8857
196614,compartido,1,19608
196615,compartido,2,13037
196616,compartido,4,8466
196617,compartido,4,15262
196618,compartido,2,5260
196619,individual,1,5890
196620,compartido,1,3346
196621,compartido,3,10726
196622,compartido,2,13475
196623,compartido,4,1275
196624,individual,1,9410
196625,individual,1,11929
196626,individual,2,14994
196627,individual,2,15399
196628,individual,1,3246
196629,compartido,4,19033
196630,compartido,1,10822
196631,individual,2,5578
196632,compartido,1,19331
196633,compartido,4,16112
196634,compartido,3,9282
196635,individual,2,15212
196636,compartido,1,14838
196637,compartido,4,7512
196638,compartido,3,17407
196639,individual,4,2457
196640,compartido,1,4310
196641,compartido,2,16963
196642,individual,2,6447
196643,compartido,4,17878
196644,individual,4,15821
196645,compartido,3,10551
196646,individual,1,18770
196647,compartido,2,16979
196648,compartido,4,13933
196649,compartido,1,2380
196650,individual,4,2205
196651,compartido,3,4742
196652,compartido,2,4878
196653,compartido,4,10550
196654,individual,3,1095
196655,individual,1,14802
196656,compartido,3,11623
196657,compartido,2,3544
196658,individual,2,15408
196659,compartido,1,13054
196660,compartido,4,18545
196661,compartido,2,12043
196662,individual,2,14262
196663,compartido,1,1219
196664,compartido,3,7277
196665,individual,1,17020
196666,compartido,1,15013
196667,compartido,2,3078
196668,individual,2,7818
196669,compartido,2,5495
196670,individual,3,17807
196671,individual,1,16261
196672,compartido,1,12121
196673,individual,2,14381
196674,individual,4,4328
196675,individual,4,17656
196676,compartido,1,270
196677,compartido,1,7278
196678,individual,3,9094
196679,individual,1,7480
196680,compartido,4,3870
196681,individual,4,17843
196682,individual,3,12481
196683,individual,1,9966
196684,individual,4,12457
196685,individual,1,6972
196686,compartido,3,19427
196687,compartido,3,16051
196688,individual,3,10320
196689,individual,3,3456
196690,individual,2,9834
196691,individual,2,6446
196692,compartido,4,14865
196693,compartido,3,7615
196694,compartido,1,877
196695,individual,4,11865
196696,compartido,1,10902
196697,compartido,3,2535
196698,compartido,1,5859
196699,compartido,4,8721
196700,compartido,4,1439
196701,compartido,1,12243
196702,compartido,4,11946
196703,compartido,1,18470
196704,compartido,3,9371
196705,individual,4,12999
196706,individual,3,7796
196707,compartido,4,7958
196708,compartido,1,762
196709,compartido,2,11797
196710,individual,1,16936
196711,individual,2,18003
196712,individual,4,1410
196713,compartido,4,2050
196714,compartido,2,15531
196715,compartido,1,7473
196716,individual,1,17307
196717,individual,3,4710
196718,compartido,3,5882
196719,compartido,4,5608
196720,individual,1,11974
196721,compartido,3,11506
196722,compartido,1,4608
196723,individual,4,6660
196724,compartido,3,1101
196725,compartido,1,16166
196726,individual,1,18637
196727,compartido,3,15917
196728,compartido,4,4214
196729,compartido,1,5853
196730,compartido,3,1039
196731,compartido,3,406
196732,individual,1,12437
196733,individual,3,13453
196734,individual,2,6261
196735,compartido,4,19647
196736,compartido,1,1729
196737,individual,2,4577
196738,compartido,1,9307
196739,compartido,1,8237
196740,individual,4,19580
196741,individual,3,11664
196742,compartido,4,13583
196743,individual,4,13216
196744,compartido,1,13205
196745,individual,3,19773
196746,compartido,4,1707
196747,compartido,4,12544
196748,individual,3,16433
196749,individual,3,19160
196750,compartido,1,719
196751,individual,4,19432
196752,compartido,1,13196
196753,individual,4,13708
196754,compartido,1,14023
196755,individual,2,11218
196756,individual,3,1263
196757,individual,4,11954
196758,compartido,1,5661
196759,individual,3,14764
196760,individual,4,8549
196761,compartido,2,18912
196762,compartido,2,5612
196763,compartido,1,16435
196764,individual,3,216
196765,compartido,1,12928
196766,individual,1,9113
196767,compartido,1,4216
196768,individual,3,4231
196769,individual,4,17033
196770,compartido,3,2289
196771,compartido,2,14305
196772,compartido,4,19992
196773,compartido,3,2495
196774,compartido,2,14071
196775,compartido,1,8727
196776,individual,1,19708
196777,compartido,1,16828
196778,individual,3,941
196779,compartido,2,10580
196780,individual,4,11855
196781,individual,3,765
196782,individual,1,2785
196783,compartido,1,19002
196784,individual,1,8045
196785,compartido,1,7815
196786,individual,3,7457
196787,compartido,3,5162
196788,individual,4,18488
196789,individual,1,7652
196790,individual,1,5740
196791,compartido,3,13939
196792,individual,2,12602
196793,individual,3,1280
196794,compartido,1,10760
196795,individual,2,17897
196796,compartido,2,16877
196797,compartido,2,14263
196798,compartido,3,9376
196799,individual,3,4980
196800,individual,2,8805
196801,individual,4,18636
196802,compartido,3,13088
196803,compartido,1,8616
196804,compartido,2,16766
196805,individual,4,7611
196806,compartido,1,9856
196807,individual,2,14683
196808,compartido,3,4805
196809,compartido,4,2047
196810,compartido,2,3968
196811,compartido,1,11930
196812,compartido,4,16763
196813,individual,4,7685
196814,compartido,3,1626
196815,compartido,1,16126
196816,individual,3,2531
196817,individual,4,6164
196818,compartido,3,5809
196819,compartido,4,2380
196820,compartido,4,9744
196821,compartido,3,19278
196822,individual,4,10097
196823,individual,4,6415
196824,individual,3,9425
196825,compartido,2,14708
196826,individual,4,8754
196827,individual,1,19434
196828,compartido,3,2677
196829,individual,4,3944
196830,compartido,3,404
196831,compartido,2,19542
196832,individual,3,9179
196833,individual,3,19242
196834,individual,1,2469
196835,compartido,3,16319
196836,individual,1,14469
196837,compartido,3,219
196838,compartido,1,6798
196839,compartido,4,12587
196840,individual,1,3682
196841,individual,4,285
196842,compartido,4,1120
196843,individual,2,15536
196844,individual,2,5674
196845,compartido,3,4959
196846,individual,2,15927
196847,compartido,4,6340
196848,individual,3,16598
196849,individual,3,2313
196850,compartido,4,16035
196851,individual,3,10498
196852,compartido,2,7559
196853,compartido,1,15636
196854,individual,3,826
196855,individual,2,10918
196856,individual,1,2091
196857,compartido,4,2390
196858,individual,1,1481
196859,compartido,4,14884
196860,individual,1,1084
196861,individual,1,15398
196862,individual,3,14851
196863,individual,2,12583
196864,compartido,4,13662
196865,individual,2,14078
196866,individual,4,10310
196867,compartido,3,11560
196868,individual,1,19422
196869,individual,1,14303
196870,individual,3,2750
196871,compartido,1,13161
196872,compartido,1,16246
196873,compartido,2,8318
196874,individual,4,17472
196875,compartido,4,6286
196876,compartido,1,8939
196877,compartido,1,3062
196878,individual,2,6214
196879,compartido,3,18057
196880,compartido,2,13394
196881,compartido,3,16662
196882,compartido,3,2760
196883,individual,1,12689
196884,individual,2,10497
196885,individual,2,17838
196886,individual,1,2681
196887,individual,2,13791
196888,compartido,1,16011
196889,compartido,1,5647
196890,compartido,1,14187
196891,individual,2,12874
196892,individual,3,8708
196893,individual,3,12496
196894,compartido,4,1438
196895,individual,1,6835
196896,individual,4,4980
196897,compartido,3,7761
196898,compartido,3,3114
196899,compartido,4,2982
196900,compartido,1,8848
196901,compartido,2,17223
196902,individual,2,308
196903,compartido,1,8645
196904,individual,1,3822
196905,compartido,1,13028
196906,individual,1,18575
196907,individual,4,2316
196908,compartido,2,8843
196909,compartido,3,10830
196910,compartido,1,17006
196911,individual,1,3516
196912,compartido,2,6181
196913,individual,4,8471
196914,individual,2,8182
196915,individual,3,13277
196916,compartido,2,2210
196917,individual,4,14619
196918,individual,1,3857
196919,compartido,4,1958
196920,individual,3,11116
196921,compartido,2,9444
196922,individual,2,6742
196923,compartido,4,13799
196924,individual,2,19353
196925,compartido,1,14928
196926,compartido,2,990
196927,compartido,1,4758
196928,individual,1,19142
196929,compartido,4,7991
196930,individual,4,3133
196931,individual,4,10843
196932,individual,3,7557
196933,individual,3,182
196934,individual,4,2356
196935,compartido,3,18462
196936,individual,2,2422
196937,individual,4,3469
196938,individual,2,10821
196939,compartido,4,17451
196940,compartido,2,18402
196941,individual,2,13404
196942,compartido,4,18657
196943,individual,4,12470
196944,individual,2,15606
196945,compartido,2,12819
196946,compartido,3,16932
196947,individual,3,14350
196948,individual,3,10918
196949,individual,4,10889
196950,compartido,2,13884
196951,compartido,3,16684
196952,individual,1,4639
196953,individual,2,4211
196954,individual,3,16132
196955,compartido,1,1157
196956,individual,2,11188
196957,individual,1,18128
196958,compartido,1,17283
196959,compartido,2,15098
196960,individual,4,2404
196961,compartido,4,9954
196962,compartido,4,15489
196963,compartido,3,17870
196964,individual,1,8960
196965,compartido,3,8574
196966,individual,1,153
196967,compartido,1,10023
196968,individual,2,9520
196969,individual,3,4517
196970,compartido,3,5753
196971,individual,3,12428
196972,compartido,2,5354
196973,individual,1,6802
196974,compartido,2,2656
196975,compartido,1,12538
196976,compartido,1,4666
196977,individual,4,6534
196978,compartido,2,11404
196979,individual,3,4352
196980,compartido,3,4971
196981,compartido,1,12702
196982,individual,3,7483
196983,individual,4,4587
196984,individual,1,13352
196985,compartido,3,10993
196986,individual,2,18114
196987,individual,2,14914
196988,individual,2,6111
196989,compartido,3,7394
196990,individual,1,5070
196991,compartido,2,17483
196992,compartido,4,3491
196993,individual,1,12480
196994,individual,4,15860
196995,compartido,3,12833
196996,individual,1,6037
196997,individual,3,13715
196998,individual,1,5111
196999,compartido,4,15780
197000,compartido,1,9790
197001,individual,4,12940
197002,compartido,3,10801
197003,compartido,1,7031
197004,compartido,1,6855
197005,compartido,3,14565
197006,compartido,4,18371
197007,individual,2,11905
197008,individual,2,9999
197009,compartido,3,9417
197010,compartido,3,7781
197011,individual,2,8668
197012,compartido,4,14814
197013,individual,3,9331
197014,individual,4,17188
197015,individual,2,1043
197016,individual,1,15557
197017,individual,3,8467
197018,compartido,2,2729
197019,individual,4,17904
197020,individual,1,17793
197021,individual,2,13781
197022,individual,2,3936
197023,compartido,4,13846
197024,individual,3,4582
197025,individual,3,13026
197026,individual,4,19474
197027,compartido,1,18796
197028,individual,3,13870
197029,individual,2,17557
197030,individual,4,13413
197031,individual,3,14995
197032,individual,4,19546
197033,individual,1,19416
197034,individual,1,3030
197035,compartido,4,4257
197036,compartido,2,3893
197037,individual,4,8284
197038,individual,3,16290
197039,individual,3,3529
197040,individual,3,10126
197041,compartido,2,7077
197042,compartido,4,12992
197043,individual,4,2172
197044,individual,2,14987
197045,compartido,4,16925
197046,individual,1,10742
197047,individual,4,15714
197048,individual,2,17474
197049,compartido,3,14492
197050,individual,3,6981
197051,individual,1,17106
197052,individual,2,2130
197053,individual,2,2752
197054,compartido,4,807
197055,individual,1,2099
197056,individual,1,9402
197057,individual,3,10245
197058,individual,1,6595
197059,individual,3,2086
197060,compartido,3,6420
197061,individual,4,1733
197062,compartido,1,10990
197063,individual,1,9067
197064,compartido,4,1709
197065,individual,4,12737
197066,compartido,1,10784
197067,compartido,4,4204
197068,compartido,2,1123
197069,compartido,1,10618
197070,compartido,2,14419
197071,individual,4,19682
197072,individual,1,1602
197073,individual,1,3986
197074,individual,4,17029
197075,compartido,1,6135
197076,individual,3,5220
197077,compartido,4,4503
197078,compartido,4,7290
197079,individual,2,12197
197080,individual,2,2504
197081,individual,1,8243
197082,compartido,3,4958
197083,compartido,3,6218
197084,individual,1,17096
197085,compartido,2,11352
197086,individual,3,9420
197087,individual,4,5208
197088,individual,4,7523
197089,compartido,3,9192
197090,individual,4,9397
197091,compartido,1,17619
197092,compartido,3,16991
197093,individual,2,12969
197094,individual,4,6286
197095,compartido,3,5458
197096,compartido,1,18042
197097,individual,1,2840
197098,compartido,1,11555
197099,compartido,2,9144
197100,individual,2,19441
197101,compartido,1,4902
197102,compartido,3,14602
197103,individual,3,5010
197104,compartido,3,9634
197105,individual,1,4147
197106,compartido,2,7102
197107,compartido,4,6595
197108,individual,2,10676
197109,individual,3,5459
197110,individual,2,14420
197111,individual,4,6513
197112,compartido,3,11065
197113,compartido,3,15557
197114,individual,1,17794
197115,compartido,1,17379
197116,compartido,3,6560
197117,compartido,4,14179
197118,individual,2,15703
197119,compartido,4,8353
197120,compartido,1,5203
197121,compartido,1,7260
197122,compartido,4,14207
197123,compartido,3,11758
197124,compartido,3,9315
197125,compartido,2,2186
197126,individual,2,12738
197127,compartido,1,15304
197128,individual,1,19883
197129,compartido,2,15575
197130,compartido,4,4178
197131,compartido,2,14975
197132,compartido,2,2462
197133,compartido,3,848
197134,individual,3,16520
197135,individual,4,8225
197136,compartido,3,6852
197137,individual,4,13129
197138,compartido,3,2430
197139,compartido,3,15635
197140,compartido,3,19699
197141,compartido,1,16567
197142,compartido,2,11073
197143,individual,3,5179
197144,compartido,3,13602
197145,individual,2,2518
197146,compartido,1,7613
197147,compartido,3,16360
197148,individual,3,12933
197149,compartido,1,7469
197150,individual,4,3920
197151,individual,1,4211
197152,compartido,3,5795
197153,compartido,3,8468
197154,individual,2,19009
197155,individual,3,3479
197156,individual,4,18392
197157,compartido,3,2782
197158,compartido,4,5975
197159,individual,2,10950
197160,individual,3,3365
197161,individual,4,5154
197162,compartido,4,11537
197163,compartido,3,5839
197164,individual,3,5963
197165,individual,1,13622
197166,compartido,3,3458
197167,individual,3,15737
197168,individual,1,4537
197169,individual,2,11487
197170,individual,1,3364
197171,compartido,2,9663
197172,individual,3,10228
197173,individual,2,7425
197174,compartido,1,9662
197175,individual,4,1081
197176,individual,4,9540
197177,individual,3,19604
197178,compartido,4,17597
197179,individual,1,521
197180,individual,3,9013
197181,individual,2,9853
197182,compartido,3,13400
197183,individual,1,10240
197184,individual,2,12758
197185,individual,3,8590
197186,compartido,1,18326
197187,compartido,1,17184
197188,compartido,1,12293
197189,individual,1,11055
197190,compartido,1,35
197191,individual,2,12370
197192,individual,1,14738
197193,individual,1,14631
197194,individual,1,14072
197195,individual,1,14366
197196,individual,4,6250
197197,individual,3,13757
197198,compartido,2,2797
197199,compartido,3,5419
197200,compartido,2,19266
197201,compartido,3,822
197202,compartido,3,2516
197203,compartido,3,5404
197204,compartido,2,9797
197205,individual,3,1108
197206,individual,3,19995
197207,individual,4,11599
197208,compartido,2,13574
197209,individual,3,15645
197210,individual,4,7286
197211,compartido,1,14388
197212,compartido,4,1601
197213,compartido,3,14902
197214,compartido,2,15447
197215,individual,1,5711
197216,individual,3,3580
197217,compartido,3,2702
197218,compartido,4,14259
197219,compartido,1,15447
197220,compartido,3,7352
197221,individual,4,5067
197222,compartido,4,1688
197223,compartido,4,15362
197224,compartido,2,13611
197225,compartido,4,15024
197226,compartido,3,18320
197227,compartido,2,9736
197228,individual,1,425
197229,individual,4,5163
197230,compartido,2,8451
197231,individual,1,17530
197232,individual,2,17236
197233,individual,2,16616
197234,individual,3,3710
197235,individual,2,6331
197236,compartido,2,5175
197237,compartido,3,13582
197238,compartido,2,4242
197239,compartido,2,5872
197240,compartido,3,12624
197241,compartido,4,391
197242,compartido,3,15174
197243,compartido,1,12547
197244,compartido,1,13577
197245,individual,2,9682
197246,compartido,2,5816
197247,individual,4,12255
197248,individual,4,10487
197249,compartido,2,3299
197250,individual,1,10156
197251,individual,3,404
197252,individual,2,18432
197253,individual,1,12340
197254,individual,2,521
197255,compartido,4,19621
197256,individual,3,3872
197257,compartido,1,19686
197258,compartido,1,7616
197259,compartido,4,2357
197260,individual,3,6940
197261,individual,1,5459
197262,individual,4,19662
197263,individual,3,4915
197264,individual,4,4158
197265,compartido,4,3655
197266,compartido,2,13753
197267,individual,3,138
197268,compartido,4,14423
197269,individual,4,19225
197270,compartido,2,13772
197271,individual,1,9159
197272,compartido,4,9718
197273,individual,3,11266
197274,compartido,4,18576
197275,individual,4,19802
197276,compartido,1,864
197277,individual,3,5001
197278,compartido,1,14967
197279,individual,1,1617
197280,individual,2,6152
197281,individual,1,12598
197282,compartido,2,6514
197283,compartido,1,364
197284,compartido,1,19736
197285,compartido,2,16728
197286,individual,2,1758
197287,compartido,4,16338
197288,compartido,2,13677
197289,individual,3,10472
197290,compartido,1,15787
197291,individual,2,15603
197292,individual,1,14881
197293,individual,2,19699
197294,compartido,1,12439
197295,individual,4,13648
197296,individual,2,1316
197297,individual,3,5647
197298,individual,3,7095
197299,individual,2,14476
197300,compartido,2,9669
197301,compartido,4,3755
197302,individual,3,4381
197303,individual,3,6215
197304,compartido,2,4385
197305,compartido,4,7692
197306,individual,4,963
197307,individual,2,13166
197308,compartido,3,8132
197309,compartido,3,13648
197310,compartido,4,12021
197311,compartido,3,9861
197312,compartido,2,17706
197313,compartido,3,4797
197314,individual,2,12571
197315,individual,4,14694
197316,compartido,2,6665
197317,compartido,3,8627
197318,individual,1,5313
197319,individual,1,4760
197320,individual,3,19450
197321,compartido,1,2828
197322,individual,3,3507
197323,individual,4,7359
197324,individual,1,17226
197325,individual,2,5672
197326,compartido,2,95
197327,compartido,4,10040
197328,individual,3,18051
197329,compartido,1,1061
197330,individual,4,18737
197331,individual,1,9480
197332,individual,2,18987
197333,individual,1,14914
197334,compartido,4,14430
197335,individual,2,6357
197336,individual,3,16734
197337,individual,1,15343
197338,compartido,2,1089
197339,compartido,2,2883
197340,individual,4,9944
197341,compartido,2,977
197342,compartido,4,2412
197343,individual,3,13104
197344,compartido,2,7185
197345,individual,4,15320
197346,compartido,1,6636
197347,individual,1,1091
197348,individual,1,6682
197349,individual,4,12898
197350,individual,1,437
197351,individual,4,1800
197352,individual,3,10356
197353,compartido,1,10655
197354,compartido,4,18548
197355,individual,4,18137
197356,compartido,4,5447
197357,individual,4,1256
197358,individual,3,2417
197359,individual,3,15639
197360,compartido,1,15817
197361,individual,3,19552
197362,individual,2,6328
197363,compartido,2,13982
197364,compartido,4,8029
197365,compartido,4,610
197366,compartido,1,2025
197367,compartido,4,6121
197368,compartido,4,6148
197369,individual,4,1201
197370,compartido,4,19134
197371,compartido,2,8479
197372,individual,2,14130
197373,individual,1,14983
197374,individual,3,5402
197375,individual,4,6816
197376,individual,1,19557
197377,individual,2,18771
197378,compartido,2,6259
197379,individual,3,3074
