ID,TIPOHABITACION,TAMANIO,IDHOTEL
157940,semisuite,Grande,18193
157941,suite,Grande,1105
157942,semisuite,Grande,5113
157943,suite,Grande,18506
157944,suite,Grande,13797
157945,suite,Grande,4755
157946,estandar,Grande,15014
157947,suite,Grande,10826
157948,suite,Grande,585
157949,semisuite,Grande,12
157950,suite,Grande,2709
157951,estandar,Grande,3147
157952,suite,Grande,13945
157953,suite,Grande,7425
157954,estandar,Grande,15427
157955,semisuite,Grande,8905
157956,estandar,Grande,583
157957,suite,Grande,997
157958,estandar,Grande,16295
157959,estandar,Grande,407
157960,estandar,Grande,17327
157961,semisuite,Grande,16680
157962,estandar,Grande,15284
157963,suite,Grande,466
157964,semisuite,Grande,3780
157965,suite,Grande,3968
157966,semisuite,Grande,3625
157967,semisuite,Grande,4221
157968,estandar,Grande,8017
157969,semisuite,Grande,7035
157970,suite,Grande,19984
157971,estandar,Grande,17041
157972,estandar,Grande,4236
157973,suite,Grande,10962
157974,semisuite,Grande,8104
157975,suite,Grande,9118
157976,estandar,Grande,19574
157977,suite,Grande,2033
157978,suite,Grande,12720
157979,estandar,Grande,10471
157980,suite,Grande,2117
157981,estandar,Grande,4119
157982,suite,Grande,19547
157983,semisuite,Grande,19568
157984,semisuite,Grande,1398
157985,semisuite,Grande,16880
157986,estandar,Grande,4497
157987,suite,Grande,6895
157988,suite,Grande,10325
157989,suite,Grande,14192
157990,suite,Grande,12709
157991,semisuite,Grande,4120
157992,suite,Grande,2622
157993,semisuite,Grande,3505
157994,semisuite,Grande,6186
157995,semisuite,Grande,12783
157996,semisuite,Grande,4082
157997,suite,Grande,4260
157998,suite,Grande,8941
157999,estandar,Grande,902
158000,semisuite,Grande,16633
158001,estandar,Grande,15153
158002,estandar,Grande,10451
158003,suite,Grande,2206
158004,suite,Grande,2785
158005,semisuite,Grande,12173
158006,suite,Grande,9280
158007,semisuite,Grande,13416
158008,semisuite,Grande,16111
158009,suite,Grande,13413
158010,semisuite,Grande,1066
158011,semisuite,Grande,14217
158012,suite,Grande,7317
158013,semisuite,Grande,4370
158014,semisuite,Grande,1115
158015,estandar,Grande,5877
158016,estandar,Grande,6906
158017,estandar,Grande,18983
158018,semisuite,Grande,12358
158019,estandar,Grande,12408
158020,suite,Grande,8427
158021,semisuite,Grande,3755
158022,estandar,Grande,7390
158023,suite,Grande,1627
158024,estandar,Grande,6708
158025,suite,Grande,7399
158026,suite,Grande,14599
158027,suite,Grande,17998
158028,semisuite,Grande,6920
158029,semisuite,Grande,17680
158030,estandar,Grande,12054
158031,estandar,Grande,16866
158032,suite,Grande,12047
158033,estandar,Grande,8301
158034,estandar,Grande,15789
158035,estandar,Grande,102
158036,semisuite,Grande,708
158037,semisuite,Grande,17250
158038,suite,Grande,16444
158039,estandar,Grande,1922
158040,semisuite,Grande,1231
158041,semisuite,Grande,6762
158042,estandar,Grande,9060
158043,estandar,Grande,8728
158044,suite,Grande,14749
158045,suite,Grande,14006
158046,semisuite,Grande,10244
158047,estandar,Grande,11019
158048,semisuite,Grande,4523
158049,suite,Grande,10924
158050,estandar,Grande,19460
158051,estandar,Grande,8005
158052,semisuite,Grande,14504
158053,estandar,Grande,1571
158054,suite,Grande,6108
158055,semisuite,Grande,17702
158056,suite,Grande,3150
158057,suite,Grande,11835
158058,semisuite,Grande,17692
158059,semisuite,Grande,16629
158060,estandar,Grande,1338
158061,estandar,Grande,2390
158062,semisuite,Grande,7591
158063,estandar,Grande,9511
158064,semisuite,Grande,4151
158065,semisuite,Grande,6367
158066,suite,Grande,4921
158067,suite,Grande,1671
158068,suite,Grande,17910
158069,estandar,Grande,403
158070,semisuite,Grande,8552
158071,estandar,Grande,11247
158072,suite,Grande,11969
158073,semisuite,Grande,771
158074,estandar,Grande,4334
158075,estandar,Grande,19120
158076,estandar,Grande,4299
158077,semisuite,Grande,4092
158078,estandar,Grande,1007
158079,semisuite,Grande,12285
158080,semisuite,Grande,18991
158081,semisuite,Grande,12877
158082,suite,Grande,10740
158083,estandar,Grande,11547
158084,semisuite,Grande,14619
158085,semisuite,Grande,10028
158086,estandar,Grande,10622
158087,estandar,Grande,9406
158088,semisuite,Grande,8864
158089,suite,Grande,14769
158090,estandar,Grande,19196
158091,semisuite,Grande,7309
158092,suite,Grande,1264
158093,suite,Grande,4761
158094,semisuite,Grande,17441
158095,semisuite,Grande,7659
158096,estandar,Grande,16149
158097,estandar,Grande,5610
158098,estandar,Grande,15139
158099,suite,Grande,18591
158100,semisuite,Grande,10329
158101,suite,Grande,1542
158102,semisuite,Grande,6319
158103,suite,Grande,11552
158104,semisuite,Grande,2693
158105,semisuite,Grande,11539
158106,semisuite,Grande,14788
158107,estandar,Grande,13535
158108,semisuite,Grande,5647
158109,semisuite,Grande,16220
158110,estandar,Grande,13811
158111,estandar,Grande,17575
158112,suite,Grande,9572
158113,estandar,Grande,9349
158114,semisuite,Grande,13250
158115,semisuite,Grande,9921
158116,semisuite,Grande,19176
158117,estandar,Grande,2403
158118,semisuite,Grande,18743
158119,suite,Grande,14355
158120,suite,Grande,6096
158121,semisuite,Grande,3289
158122,suite,Grande,4258
158123,semisuite,Grande,13958
158124,estandar,Grande,5657
158125,estandar,Grande,9344
158126,semisuite,Grande,12711
158127,semisuite,Grande,6895
158128,semisuite,Grande,14534
158129,suite,Grande,19124
158130,estandar,Grande,1190
158131,suite,Grande,3035
158132,semisuite,Grande,2511
158133,estandar,Grande,11236
158134,estandar,Grande,3137
158135,estandar,Grande,2128
158136,semisuite,Grande,11649
158137,estandar,Grande,9130
158138,estandar,Grande,15341
158139,estandar,Grande,12998
158140,estandar,Grande,1497
158141,semisuite,Grande,6416
158142,semisuite,Grande,18397
158143,estandar,Grande,7344
158144,estandar,Grande,2561
158145,semisuite,Grande,10954
158146,estandar,Grande,960
158147,suite,Grande,7717
158148,semisuite,Grande,12149
158149,suite,Grande,8217
158150,semisuite,Grande,7388
158151,suite,Grande,5775
158152,suite,Grande,16707
158153,suite,Grande,7764
158154,semisuite,Grande,18476
158155,suite,Grande,5524
158156,estandar,Grande,4102
158157,suite,Grande,1580
158158,semisuite,Grande,19231
158159,estandar,Grande,18527
158160,estandar,Grande,16937
158161,estandar,Grande,19687
158162,estandar,Grande,16172
158163,estandar,Grande,13050
158164,suite,Grande,16842
158165,suite,Grande,1330
158166,semisuite,Grande,5094
158167,semisuite,Grande,5410
158168,suite,Grande,3553
158169,suite,Grande,19219
158170,suite,Grande,18213
158171,suite,Grande,11817
158172,estandar,Grande,6554
158173,suite,Grande,16517
158174,estandar,Grande,4391
158175,suite,Grande,9313
158176,suite,Grande,6801
158177,suite,Grande,9896
158178,suite,Grande,6581
158179,semisuite,Grande,18407
158180,estandar,Grande,8444
158181,suite,Grande,7892
158182,suite,Grande,13912
158183,estandar,Grande,2085
158184,semisuite,Grande,19786
158185,semisuite,Grande,19160
158186,estandar,Grande,7558
158187,suite,Grande,16618
158188,estandar,Grande,19577
158189,semisuite,Grande,19813
158190,estandar,Grande,4316
158191,suite,Grande,4612
158192,suite,Grande,6009
158193,semisuite,Grande,15167
158194,suite,Grande,5932
158195,estandar,Grande,2190
158196,suite,Grande,470
158197,semisuite,Grande,9967
158198,semisuite,Grande,991
158199,estandar,Grande,3490
158200,semisuite,Grande,18307
158201,semisuite,Grande,7599
158202,semisuite,Grande,12119
158203,suite,Grande,10344
158204,semisuite,Grande,8166
158205,semisuite,Grande,6047
158206,semisuite,Grande,6252
158207,estandar,Grande,18709
158208,suite,Grande,6233
158209,semisuite,Grande,3145
158210,suite,Grande,19067
158211,suite,Grande,18467
158212,semisuite,Grande,16793
158213,estandar,Grande,880
158214,suite,Grande,14748
158215,suite,Grande,11433
158216,semisuite,Grande,9072
158217,estandar,Grande,17028
158218,estandar,Grande,14943
158219,suite,Grande,10825
158220,estandar,Grande,13041
158221,estandar,Grande,6789
158222,estandar,Grande,11023
158223,estandar,Grande,19143
158224,estandar,Grande,740
158225,estandar,Grande,9237
158226,estandar,Grande,4149
158227,semisuite,Grande,17800
158228,suite,Grande,2733
158229,estandar,Grande,2319
158230,semisuite,Grande,18345
158231,estandar,Grande,18174
158232,suite,Grande,18574
158233,suite,Grande,18796
158234,estandar,Grande,19857
158235,suite,Grande,17429
158236,suite,Grande,12946
158237,suite,Grande,15112
158238,semisuite,Grande,4539
158239,semisuite,Grande,5640
158240,semisuite,Grande,12287
158241,semisuite,Grande,16184
158242,estandar,Grande,13393
158243,suite,Grande,5649
158244,semisuite,Grande,5959
158245,suite,Grande,12408
158246,estandar,Grande,15043
158247,semisuite,Grande,9523
158248,suite,Grande,7386
158249,estandar,Grande,7403
158250,suite,Grande,9411
158251,semisuite,Grande,12059
158252,semisuite,Grande,1014
158253,estandar,Grande,12515
158254,estandar,Grande,12177
158255,suite,Grande,16208
158256,suite,Grande,14919
158257,estandar,Grande,4372
158258,semisuite,Grande,9216
158259,estandar,Grande,15458
158260,suite,Grande,5190
158261,suite,Grande,14681
158262,suite,Grande,4128
158263,suite,Grande,2530
158264,semisuite,Grande,7618
158265,estandar,Grande,12667
158266,semisuite,Grande,7352
158267,estandar,Grande,15883
158268,estandar,Grande,326
158269,estandar,Grande,5710
158270,suite,Grande,1614
158271,semisuite,Grande,15186
158272,suite,Grande,16475
158273,suite,Grande,11992
158274,semisuite,Grande,19386
158275,semisuite,Grande,8961
158276,semisuite,Grande,12813
158277,semisuite,Grande,16792
158278,suite,Grande,13274
158279,estandar,Grande,3169
158280,estandar,Grande,9377
158281,estandar,Grande,14349
158282,estandar,Grande,5123
158283,estandar,Grande,19194
158284,semisuite,Grande,10357
158285,semisuite,Grande,15654
158286,estandar,Grande,7741
158287,semisuite,Grande,4310
158288,suite,Grande,11668
158289,suite,Grande,15106
158290,suite,Grande,17344
158291,estandar,Grande,15106
158292,estandar,Grande,6071
158293,estandar,Grande,16570
158294,suite,Grande,4398
158295,semisuite,Grande,8655
158296,suite,Grande,1967
158297,semisuite,Grande,15381
158298,semisuite,Grande,15192
158299,semisuite,Grande,9559
158300,semisuite,Grande,472
158301,semisuite,Grande,10799
158302,estandar,Grande,16013
158303,suite,Grande,8741
158304,semisuite,Grande,2931
158305,semisuite,Grande,16429
158306,suite,Grande,7251
158307,semisuite,Grande,14662
158308,semisuite,Grande,6403
158309,suite,Grande,17374
158310,semisuite,Grande,18592
158311,semisuite,Grande,12011
158312,suite,Grande,1693
158313,semisuite,Grande,16607
158314,semisuite,Grande,18685
158315,estandar,Grande,17146
158316,semisuite,Grande,4716
158317,semisuite,Grande,10445
158318,suite,Grande,14568
158319,suite,Grande,9337
158320,semisuite,Grande,3379
158321,estandar,Grande,3797
158322,estandar,Grande,7254
158323,semisuite,Grande,11496
158324,semisuite,Grande,3533
158325,estandar,Grande,6036
158326,estandar,Grande,8636
158327,estandar,Grande,19899
158328,semisuite,Grande,7778
158329,estandar,Grande,11545
158330,estandar,Grande,8598
158331,estandar,Grande,3684
158332,semisuite,Grande,15663
158333,suite,Grande,686
158334,suite,Grande,1172
158335,suite,Grande,17144
158336,estandar,Grande,10865
158337,semisuite,Grande,16878
158338,semisuite,Grande,5280
158339,suite,Grande,273
158340,semisuite,Grande,18386
158341,estandar,Grande,12162
158342,estandar,Grande,14822
158343,suite,Grande,8044
158344,estandar,Grande,4632
158345,estandar,Grande,16693
158346,suite,Grande,16715
158347,suite,Grande,4087
158348,estandar,Grande,15624
158349,estandar,Grande,14547
158350,semisuite,Grande,5811
158351,suite,Grande,8505
158352,semisuite,Grande,7295
158353,suite,Grande,15661
158354,semisuite,Grande,18896
158355,semisuite,Grande,19313
158356,suite,Grande,14351
158357,estandar,Grande,18914
158358,estandar,Grande,10009
158359,semisuite,Grande,7264
158360,suite,Grande,2874
158361,estandar,Grande,17924
158362,semisuite,Grande,6776
158363,estandar,Grande,9632
158364,suite,Grande,2185
158365,suite,Grande,10198
158366,semisuite,Grande,8463
158367,semisuite,Grande,8464
158368,suite,Grande,12770
158369,estandar,Grande,1896
158370,estandar,Grande,9738
158371,estandar,Grande,17907
158372,semisuite,Grande,5796
158373,estandar,Grande,515
158374,suite,Grande,13065
158375,semisuite,Grande,13671
158376,semisuite,Grande,3431
158377,estandar,Grande,15611
158378,suite,Grande,14074
158379,suite,Grande,2833
158380,semisuite,Grande,11336
158381,suite,Grande,4362
158382,estandar,Grande,17213
158383,suite,Grande,1838
158384,estandar,Grande,13403
158385,suite,Grande,15228
158386,semisuite,Grande,6819
158387,semisuite,Grande,4733
158388,suite,Grande,10816
158389,estandar,Grande,12579
158390,estandar,Grande,4597
158391,estandar,Grande,19500
158392,semisuite,Grande,43
158393,estandar,Grande,19804
158394,semisuite,Grande,4630
158395,estandar,Grande,11341
158396,estandar,Grande,19183
158397,semisuite,Grande,3858
158398,semisuite,Grande,1674
158399,estandar,Grande,6241
158400,semisuite,Grande,5284
158401,suite,Grande,15295
158402,suite,Grande,4172
158403,estandar,Grande,9159
158404,semisuite,Grande,2748
158405,semisuite,Grande,11778
158406,semisuite,Grande,10644
158407,suite,Grande,8626
158408,semisuite,Grande,13797
158409,estandar,Grande,5009
158410,semisuite,Grande,11498
158411,semisuite,Grande,5974
158412,suite,Grande,14441
158413,estandar,Grande,9890
158414,estandar,Grande,4592
158415,semisuite,Grande,16334
158416,suite,Grande,10204
158417,estandar,Grande,12586
158418,semisuite,Grande,15278
158419,suite,Grande,17196
158420,semisuite,Grande,2680
158421,suite,Grande,14533
158422,semisuite,Grande,8954
158423,semisuite,Grande,18240
158424,suite,Grande,11633
158425,suite,Grande,665
158426,estandar,Grande,6478
158427,estandar,Grande,11229
158428,semisuite,Grande,8471
158429,suite,Grande,1467
158430,suite,Grande,18597
158431,semisuite,Grande,19437
158432,estandar,Grande,9646
158433,semisuite,Grande,17046
158434,semisuite,Grande,8553
158435,suite,Grande,2560
158436,semisuite,Grande,443
158437,estandar,Grande,14225
158438,semisuite,Grande,15809
158439,semisuite,Grande,13332
158440,suite,Grande,8680
158441,estandar,Grande,4422
158442,suite,Grande,18052
158443,estandar,Grande,786
158444,estandar,Grande,8061
158445,semisuite,Grande,19040
158446,estandar,Grande,10275
158447,suite,Grande,17922
158448,estandar,Grande,16405
158449,estandar,Grande,7508
158450,semisuite,Grande,13091
158451,semisuite,Grande,17572
158452,estandar,Grande,17273
158453,estandar,Grande,10801
158454,estandar,Grande,8275
158455,estandar,Grande,6586
158456,suite,Grande,11150
158457,suite,Grande,16795
158458,estandar,Grande,18207
158459,suite,Grande,13650
158460,semisuite,Grande,19510
158461,estandar,Grande,4667
158462,semisuite,Grande,5053
158463,suite,Grande,14188
158464,estandar,Grande,13412
158465,suite,Grande,19416
158466,semisuite,Grande,6574
158467,suite,Grande,7556
158468,semisuite,Grande,5420
158469,semisuite,Grande,9255
158470,suite,Grande,12041
158471,semisuite,Grande,10900
158472,estandar,Grande,4512
158473,suite,Grande,19701
158474,suite,Grande,7540
158475,suite,Grande,785
158476,suite,Grande,10881
158477,estandar,Grande,3869
158478,suite,Grande,7383
158479,estandar,Grande,1451
158480,suite,Grande,534
158481,estandar,Grande,7943
158482,estandar,Grande,9526
158483,estandar,Grande,11541
158484,semisuite,Grande,8268
158485,estandar,Grande,11198
158486,suite,Grande,14967
158487,suite,Grande,16327
158488,estandar,Grande,13994
158489,estandar,Grande,18666
158490,estandar,Grande,7110
158491,semisuite,Grande,7983
158492,estandar,Grande,710
158493,estandar,Grande,6777
158494,semisuite,Grande,15981
158495,semisuite,Grande,11579
158496,semisuite,Grande,14577
158497,suite,Grande,10624
158498,suite,Grande,8783
158499,estandar,Grande,17473
158500,suite,Grande,2060
158501,estandar,Grande,4406
158502,estandar,Grande,8808
158503,semisuite,Grande,10277
158504,estandar,Grande,6479
158505,estandar,Grande,4612
158506,semisuite,Grande,13440
158507,semisuite,Grande,15095
158508,semisuite,Grande,12483
158509,suite,Grande,17213
158510,semisuite,Grande,4272
158511,semisuite,Grande,17879
158512,semisuite,Grande,2661
158513,estandar,Grande,17589
158514,suite,Grande,14739
158515,estandar,Grande,9829
158516,suite,Grande,15106
158517,semisuite,Grande,10714
158518,suite,Grande,2029
158519,semisuite,Grande,7143
158520,suite,Grande,18856
158521,semisuite,Grande,17273
158522,suite,Grande,3310
158523,semisuite,Grande,3168
158524,estandar,Grande,8180
158525,suite,Grande,5878
158526,estandar,Grande,19697
158527,suite,Grande,12695
158528,semisuite,Grande,9983
158529,semisuite,Grande,10782
158530,estandar,Grande,13172
158531,semisuite,Grande,2060
158532,semisuite,Grande,5361
158533,estandar,Grande,19102
158534,semisuite,Grande,18359
158535,estandar,Grande,3502
158536,suite,Grande,18757
158537,estandar,Grande,3307
158538,estandar,Grande,4442
158539,estandar,Grande,18341
158540,suite,Grande,9102
158541,suite,Grande,9586
158542,suite,Grande,14380
158543,suite,Grande,5930
158544,semisuite,Grande,15650
158545,semisuite,Grande,7220
158546,suite,Grande,13864
158547,semisuite,Grande,17159
158548,estandar,Grande,3019
158549,estandar,Grande,2832
158550,semisuite,Grande,5724
158551,suite,Grande,17339
158552,suite,Grande,10492
158553,suite,Grande,7074
158554,suite,Grande,2704
158555,estandar,Grande,6004
158556,estandar,Grande,1511
158557,suite,Grande,1226
158558,suite,Grande,10603
158559,semisuite,Grande,11345
158560,suite,Grande,5074
158561,semisuite,Grande,18196
158562,suite,Grande,7241
158563,semisuite,Grande,14378
158564,suite,Grande,8605
158565,suite,Grande,6215
158566,estandar,Grande,9499
158567,suite,Grande,5031
158568,suite,Grande,4067
158569,semisuite,Grande,4443
158570,semisuite,Grande,19255
158571,suite,Grande,421
158572,suite,Grande,14359
158573,semisuite,Grande,4393
158574,semisuite,Grande,76
158575,suite,Grande,1543
158576,suite,Grande,17950
158577,suite,Grande,17853
158578,estandar,Grande,11803
158579,estandar,Grande,16706
158580,suite,Grande,12796
158581,estandar,Grande,854
158582,semisuite,Grande,1824
158583,estandar,Grande,13038
158584,suite,Grande,15784
158585,semisuite,Grande,2460
158586,suite,Grande,11348
158587,estandar,Grande,14210
158588,suite,Grande,13014
158589,estandar,Grande,15073
158590,suite,Grande,2037
158591,suite,Grande,7346
158592,suite,Grande,6927
158593,estandar,Grande,12009
158594,suite,Grande,3465
158595,semisuite,Grande,1772
158596,semisuite,Grande,15570
158597,semisuite,Grande,10471
158598,estandar,Grande,10096
158599,estandar,Grande,1092
158600,semisuite,Grande,17229
158601,estandar,Grande,846
158602,semisuite,Grande,19103
158603,suite,Grande,13467
158604,estandar,Grande,2198
158605,suite,Grande,16502
158606,estandar,Grande,12952
158607,semisuite,Grande,10239
158608,semisuite,Grande,13031
158609,suite,Grande,19857
158610,estandar,Grande,19105
158611,suite,Grande,3222
158612,estandar,Grande,8398
158613,semisuite,Grande,4312
158614,estandar,Grande,427
158615,estandar,Grande,653
158616,suite,Grande,7159
158617,estandar,Grande,6933
158618,semisuite,Grande,1058
158619,suite,Grande,11905
158620,suite,Grande,14994
158621,estandar,Grande,9792
158622,semisuite,Grande,10340
158623,suite,Grande,8647
158624,semisuite,Grande,18132
158625,semisuite,Grande,1999
158626,suite,Grande,11437
158627,semisuite,Grande,7216
158628,semisuite,Grande,1804
158629,semisuite,Grande,14407
158630,semisuite,Grande,16483
158631,semisuite,Grande,18835
158632,estandar,Grande,19272
158633,semisuite,Grande,5459
158634,semisuite,Grande,10279
158635,estandar,Grande,5044
158636,semisuite,Grande,7545
158637,semisuite,Grande,210
158638,semisuite,Grande,5814
158639,suite,Grande,17789
158640,semisuite,Grande,16347
158641,estandar,Grande,1005
158642,semisuite,Grande,8236
158643,estandar,Grande,12231
158644,semisuite,Grande,7621
158645,estandar,Grande,17138
158646,suite,Grande,1254
158647,semisuite,Grande,13412
158648,semisuite,Grande,3889
158649,suite,Grande,8629
158650,suite,Grande,19658
158651,suite,Grande,15205
158652,suite,Grande,2637
158653,semisuite,Grande,19577
158654,semisuite,Grande,11298
158655,suite,Grande,655
158656,suite,Grande,8068
158657,suite,Grande,19650
158658,estandar,Grande,12086
158659,suite,Grande,10972
158660,suite,Grande,5958
158661,semisuite,Grande,16240
158662,suite,Grande,3589
158663,estandar,Grande,18802
158664,suite,Grande,10228
158665,estandar,Grande,9203
158666,semisuite,Grande,18637
158667,semisuite,Grande,11173
158668,semisuite,Grande,6880
158669,semisuite,Grande,10054
158670,estandar,Grande,16339
158671,suite,Grande,12447
158672,semisuite,Grande,9576
158673,suite,Grande,3918
158674,estandar,Grande,8009
158675,estandar,Grande,351
158676,semisuite,Grande,10575
158677,estandar,Grande,15376
158678,semisuite,Grande,182
158679,semisuite,Grande,4400
158680,estandar,Grande,3789
158681,semisuite,Grande,10368
158682,suite,Grande,14464
158683,semisuite,Grande,17388
158684,semisuite,Grande,855
158685,semisuite,Grande,19865
158686,estandar,Grande,19065
158687,estandar,Grande,9682
158688,suite,Grande,9080
158689,semisuite,Grande,4005
158690,suite,Grande,2100
158691,estandar,Grande,8160
158692,estandar,Grande,4103
158693,suite,Grande,12196
158694,suite,Grande,18207
158695,semisuite,Grande,5550
158696,suite,Grande,18327
158697,suite,Grande,17198
158698,suite,Grande,7796
158699,semisuite,Grande,5567
158700,suite,Grande,3019
158701,suite,Grande,7457
158702,suite,Grande,10243
158703,semisuite,Grande,6956
158704,estandar,Grande,6504
158705,suite,Grande,7383
158706,semisuite,Grande,1987
158707,semisuite,Grande,13661
158708,semisuite,Grande,6562
158709,suite,Grande,12236
158710,semisuite,Grande,4706
158711,semisuite,Grande,11280
158712,estandar,Grande,8764
158713,estandar,Grande,4355
158714,semisuite,Grande,13094
158715,semisuite,Grande,7425
158716,semisuite,Grande,3722
158717,suite,Grande,3404
158718,estandar,Grande,1359
158719,estandar,Grande,11064
158720,suite,Grande,16669
158721,suite,Grande,17213
158722,semisuite,Grande,19110
158723,estandar,Grande,10540
158724,semisuite,Grande,13701
158725,estandar,Grande,16715
158726,suite,Grande,11005
158727,estandar,Grande,463
158728,suite,Grande,8882
158729,estandar,Grande,4513
158730,semisuite,Grande,16540
158731,estandar,Grande,9272
158732,semisuite,Grande,15637
158733,semisuite,Grande,9158
158734,estandar,Grande,6821
158735,semisuite,Grande,4312
158736,semisuite,Grande,14824
158737,semisuite,Grande,665
158738,estandar,Grande,17199
158739,suite,Grande,9858
158740,semisuite,Grande,12977
158741,semisuite,Grande,9033
158742,estandar,Grande,11814
158743,semisuite,Grande,10438
158744,semisuite,Grande,7947
158745,semisuite,Grande,9867
158746,suite,Grande,4534
158747,suite,Grande,15907
158748,semisuite,Grande,7521
158749,suite,Grande,16032
158750,semisuite,Grande,12891
158751,estandar,Grande,6521
158752,estandar,Grande,7169
158753,semisuite,Grande,8297
158754,suite,Grande,3342
158755,semisuite,Grande,6359
158756,suite,Grande,6375
158757,estandar,Grande,11924
158758,suite,Grande,3583
158759,semisuite,Grande,2352
158760,semisuite,Grande,16309
158761,semisuite,Grande,11263
158762,suite,Grande,18981
158763,suite,Grande,7736
158764,suite,Grande,8797
158765,estandar,Grande,1249
158766,semisuite,Grande,18136
158767,semisuite,Grande,18874
158768,semisuite,Grande,6988
158769,suite,Grande,13753
158770,suite,Grande,13459
158771,suite,Grande,8398
158772,semisuite,Grande,15300
158773,estandar,Grande,13192
158774,semisuite,Grande,17234
158775,estandar,Grande,9018
158776,estandar,Grande,11748
158777,suite,Grande,476
158778,semisuite,Grande,12244
158779,estandar,Grande,7030
158780,estandar,Grande,18468
158781,semisuite,Grande,18850
158782,semisuite,Grande,7097
158783,estandar,Grande,7304
158784,suite,Grande,5985
158785,estandar,Grande,4791
158786,suite,Grande,4174
158787,estandar,Grande,2730
158788,semisuite,Grande,6411
158789,suite,Grande,9740
158790,suite,Grande,7821
158791,suite,Grande,13278
158792,suite,Grande,8755
158793,estandar,Grande,18628
158794,suite,Grande,4205
158795,suite,Grande,19007
158796,suite,Grande,13367
158797,estandar,Grande,585
158798,semisuite,Grande,12337
158799,suite,Grande,6897
158800,estandar,Grande,553
158801,suite,Grande,12155
158802,semisuite,Grande,16823
158803,semisuite,Grande,13376
158804,estandar,Grande,19806
158805,estandar,Grande,5229
158806,semisuite,Grande,6222
158807,estandar,Grande,11196
158808,semisuite,Grande,2331
158809,estandar,Grande,10106
158810,semisuite,Grande,18461
158811,semisuite,Grande,19563
158812,estandar,Grande,6010
158813,semisuite,Grande,5067
158814,estandar,Grande,18246
158815,estandar,Grande,12403
158816,estandar,Grande,18086
158817,semisuite,Grande,14381
158818,semisuite,Grande,2688
158819,semisuite,Grande,8411
158820,suite,Grande,10287
158821,suite,Grande,19489
158822,suite,Grande,10442
158823,semisuite,Grande,9032
158824,semisuite,Grande,7111
158825,estandar,Grande,7283
158826,semisuite,Grande,18528
158827,semisuite,Grande,6901
158828,semisuite,Grande,4078
158829,suite,Grande,12231
158830,estandar,Grande,16056
158831,estandar,Grande,18032
158832,semisuite,Grande,19023
158833,semisuite,Grande,8462
158834,semisuite,Grande,14016
158835,semisuite,Grande,19746
158836,estandar,Grande,19576
158837,estandar,Grande,7286
158838,estandar,Grande,5358
158839,estandar,Grande,2385
158840,estandar,Grande,18002
158841,estandar,Grande,13829
158842,estandar,Grande,15393
158843,estandar,Grande,13689
158844,suite,Grande,2952
158845,suite,Grande,17021
158846,semisuite,Grande,5213
158847,semisuite,Grande,7801
158848,suite,Grande,2045
158849,suite,Grande,1984
158850,semisuite,Grande,7711
158851,semisuite,Grande,5762
158852,estandar,Grande,7941
158853,suite,Grande,17351
158854,suite,Grande,12982
158855,suite,Grande,17612
158856,suite,Grande,14989
158857,estandar,Grande,16908
158858,estandar,Grande,19117
158859,semisuite,Grande,8179
158860,suite,Grande,1597
158861,estandar,Grande,4237
158862,semisuite,Grande,10595
158863,semisuite,Grande,7255
158864,suite,Grande,15213
158865,suite,Grande,7662
158866,semisuite,Grande,7572
158867,semisuite,Grande,10895
158868,suite,Grande,16780
158869,semisuite,Grande,67
158870,semisuite,Grande,9192
158871,estandar,Grande,9537
158872,semisuite,Grande,14363
158873,suite,Grande,12353
158874,semisuite,Grande,801
158875,estandar,Grande,5489
158876,semisuite,Grande,10904
158877,estandar,Grande,6531
158878,semisuite,Grande,15789
158879,suite,Grande,931
158880,estandar,Grande,13152
158881,semisuite,Grande,15769
158882,suite,Grande,9751
158883,semisuite,Grande,7416
158884,estandar,Grande,4506
158885,suite,Grande,1421
158886,suite,Grande,13925
158887,estandar,Grande,15522
158888,semisuite,Grande,4647
158889,estandar,Grande,16802
158890,suite,Grande,4088
158891,semisuite,Grande,13651
158892,semisuite,Grande,1959
158893,estandar,Grande,9603
158894,estandar,Grande,2633
158895,semisuite,Grande,12371
158896,semisuite,Grande,12441
158897,suite,Grande,1029
158898,suite,Grande,4370
158899,estandar,Grande,17726
158900,estandar,Grande,6617
158901,estandar,Grande,16199
158902,semisuite,Grande,7253
158903,suite,Grande,2889
158904,estandar,Grande,15947
158905,estandar,Grande,9470
158906,semisuite,Grande,8388
158907,estandar,Grande,16232
158908,semisuite,Grande,3560
158909,suite,Grande,18237
158910,semisuite,Grande,3075
158911,semisuite,Grande,15834
158912,estandar,Grande,7869
158913,estandar,Grande,246
158914,suite,Grande,107
158915,suite,Grande,17190
158916,suite,Grande,1502
158917,semisuite,Grande,15856
158918,semisuite,Grande,14199
158919,semisuite,Grande,12947
158920,suite,Grande,17104
158921,suite,Grande,10880
158922,suite,Grande,5667
158923,semisuite,Grande,11862
158924,suite,Grande,19451
158925,semisuite,Grande,1399
158926,suite,Grande,528
158927,estandar,Grande,4863
158928,estandar,Grande,9996
158929,semisuite,Grande,3065
158930,suite,Grande,12415
158931,semisuite,Grande,3185
158932,semisuite,Grande,11898
158933,semisuite,Grande,14056
158934,suite,Grande,18916
158935,suite,Grande,12824
158936,semisuite,Grande,9211
158937,suite,Grande,17780
